N_Fe P001 P01 P1 P10
10000000000 14.5833333333333 72.9166666666667 100 100
14680000000 27.0833333333333 79.1666666666667 100 100
21540000000 25 81.25 100 100
31620000000.0001 18.75 72.9166666666667 100 100
46420000000.0001 20.8333333333333 77.0833333333333 100 100
68130000000 25 64.5833333333333 100 100
100000000000 27.0833333333333 85.4166666666667 100 100
146800000000 22.9166666666667 85.4166666666667 100 100
215400000000 22.9166666666667 79.1666666666667 97.9166666666667 100
316200000000.001 20.8333333333333 72.9166666666667 100 100
464200000000.001 45.8333333333333 64.5833333333333 97.9166666666667 100
681300000000 33.3333333333333 64.5833333333333 100 100
1000000000000 39.5833333333333 79.1666666666667 97.9166666666667 100
1468000000000 39.5833333333333 72.9166666666667 100 100
2154000000000 20.8333333333333 64.5833333333333 100 100
3162000000000.01 25 60.4166666666667 100 100
4642000000000.01 14.5833333333333 64.5833333333333 100 100
6813000000000 10.4166666666667 58.3333333333333 100 100
10000000000000 16.6666666666667 62.5 97.9166666666667 100
14680000000000 12.5 58.3333333333333 100 100
21540000000000 8.33333333333333 54.1666666666667 100 100
31620000000000.1 14.5833333333333 50 100 100
46420000000000.1 12.5 47.9166666666667 100 100
68130000000000 6.25 45.8333333333333 100 100
100000000000000 10.4166666666667 45.8333333333333 100 100
