T P001 P01 P1 P10
287 8 45.3333333333333 100 100
291 32 66 100 100
292 20 69.3333333333333 98.6666666666667 100
297 18.6666666666667 77.3333333333333 100 100
301 16 62 100 100
302 24 73.3333333333333 100 100
307 20 62.6666666666667 100 100
311 26 84 100 100
312 30.6666666666667 72 100 100
317 37.3333333333333 77.3333333333333 100 100
321 28 86 100 100
322 17.3333333333333 69.3333333333333 100 100
327 24 76 100 100
331 26 72 100 100
332 22.6666666666667 69.3333333333333 97.3333333333333 100
337 14.6666666666667 48 100 100
341 18 74 100 100
342 8 29.3333333333333 98.6666666666667 100
