d P001 P01 P1 P10
0.00018 18 70 100 100
0.00023 5.33333333333333 31.6666666666667 98.6666666666667 100
0.00028 30.6666666666667 78 100 100
0.00033 37.6666666666667 85.3333333333333 100 100
0.00038 18.3333333333333 75.3333333333333 100 100
