Ytrue Nb T d Ypred RSE
12000000000.000008 1000000000000000.000000 290.000000 0.000280 11679680648.005711 0.000732
19190000000.000019 1000000000000000.000000 290.000000 0.000280 19020654464.848541 0.000079
30700000000.000034 1000000000000000.000000 290.000000 0.000280 28349248628.153046 0.006349
49090000000.000069 1000000000000000.000000 290.000000 0.000280 53023307074.244843 0.005944
78519999999.999939 1000000000000000.000000 290.000000 0.000280 85916595429.566299 0.008110
125599999999.999878 1000000000000000.000000 290.000000 0.000280 142836817554.204346 0.016561
200900000000.000061 1000000000000000.000000 290.000000 0.000280 207663042112.304291 0.001096
321199999999.999634 1000000000000000.000000 290.000000 0.000280 337382427547.092102 0.002417
513799999999.999634 1000000000000000.000000 290.000000 0.000280 526187521278.091431 0.000568
821700000000.000977 1000000000000000.000000 290.000000 0.000280 999146983161.633789 0.038353
1313999999999.998535 1000000000000000.000000 290.000000 0.000280 1480566756066.497559 0.014261
2102000000000.002197 1000000000000000.000000 290.000000 0.000280 2183600271488.598145 0.001451
3362000000000.000000 1000000000000000.000000 290.000000 0.000280 3532870338523.859863 0.002458
5377000000000.003906 1000000000000000.000000 290.000000 0.000280 4995176948980.413086 0.005428
8600000000000.012695 1000000000000000.000000 290.000000 0.000280 7238272020774.021484 0.029788
13750000000000.003906 1000000000000000.000000 290.000000 0.000280 11992704777415.312500 0.018727
22000000000000.019531 1000000000000000.000000 290.000000 0.000280 20835983101420.945312 0.002956
35180000000000.031250 1000000000000000.000000 290.000000 0.000280 31566261492341.718750 0.011760
56270000000000.039062 1000000000000000.000000 290.000000 0.000280 47826077886309.718750 0.026494
90000000000000.062500 1000000000000000.000000 290.000000 0.000280 69835951701795.429688 0.064690
12000000000.000008 1000000000000000.000000 295.000000 0.000280 11679692983.874237 0.000732
19190000000.000019 1000000000000000.000000 295.000000 0.000280 19134344025.504417 0.000008
30700000000.000034 1000000000000000.000000 295.000000 0.000280 31404956758.924061 0.000515
49090000000.000069 1000000000000000.000000 295.000000 0.000280 53340811378.242569 0.006901
78519999999.999939 1000000000000000.000000 295.000000 0.000280 90581598113.751450 0.020455
125599999999.999878 1000000000000000.000000 295.000000 0.000280 141262187893.309265 0.013826
200900000000.000061 1000000000000000.000000 295.000000 0.000280 213576146747.698853 0.003745
321199999999.999634 1000000000000000.000000 295.000000 0.000280 322191262651.656189 0.000009
513799999999.999634 1000000000000000.000000 295.000000 0.000280 559979438582.404053 0.007412
821700000000.000977 1000000000000000.000000 295.000000 0.000280 1000000000000.000000 0.038689
1313999999999.998535 1000000000000000.000000 295.000000 0.000280 1474267439415.721436 0.013259
2102000000000.002197 1000000000000000.000000 295.000000 0.000280 2189196907596.482178 0.001652
3362000000000.000000 1000000000000000.000000 295.000000 0.000280 3696265963538.078125 0.008991
5377000000000.003906 1000000000000000.000000 295.000000 0.000280 4973896014401.812500 0.006076
8600000000000.012695 1000000000000000.000000 295.000000 0.000280 9284935287801.673828 0.005875
13750000000000.003906 1000000000000000.000000 295.000000 0.000280 13995014000955.248047 0.000312
