Ytrue Nb T d Ypred RSE
681299999999.999756 1778000000000002.250000 325.000000 0.000380 681299999999.996948 0.000000
464200000000.000854 10000000000000000.000000 300.000000 0.000180 464199999999.998901 0.000000
68129999999.999977 3162000000000006.000000 335.000000 0.000230 68129999999.999977 0.000000
1467999999999.998779 3162000000000006.000000 330.000000 0.000380 1468000000000.004883 0.000000
14679999999999.988281 31620000000000060.000000 310.000000 0.000180 14680000000000.289062 0.000000
68129999999.999977 3162000000000006.000000 325.000000 0.000280 68129999999.999977 0.000000
146799999999.999878 3162000000000006.000000 305.000000 0.000330 146800000000.000488 0.000000
10000000000000.000000 1778000000000002.250000 315.000000 0.000330 10000000000000.082031 0.000000
215400000000.000427 5623000000000000.000000 335.000000 0.000280 215399999999.999542 0.000000
681299999999.999756 100000000000000000.000000 320.000000 0.000230 681299999999.996948 0.000000
14679999999999.988281 1778000000000002.250000 340.000000 0.000380 14680000000000.289062 0.000000
100000000000000.000000 100000000000000000.000000 300.000000 0.000380 99999999999998.765625 0.000000
1000000000000.000000 56229999999999776.000000 290.000000 0.000180 1000000000000.000000 0.000000
2154000000000.004395 1000000000000000.000000 320.000000 0.000230 2154000000000.013184 0.000000
46420000000.000084 3162000000000006.000000 340.000000 0.000280 46420000000.001030 0.000000
31620000000.000057 10000000000000000.000000 335.000000 0.000280 31620000000.000965 0.000000
68129999999999.976562 1778000000000002.250000 320.000000 0.000180 68129999999999.695312 0.000000
10000000000000.000000 1778000000000002.250000 340.000000 0.000280 10000000000000.082031 0.000000
68129999999.999977 10000000000000000.000000 290.000000 0.000280 68129999999.999977 0.000000
3162000000000.005859 100000000000000000.000000 340.000000 0.000280 3161999999999.979980 0.000000
100000000000.000000 17779999999999950.000000 325.000000 0.000230 100000000000.001221 0.000000
6812999999999.998047 3162000000000006.000000 305.000000 0.000180 6812999999999.998047 0.000000
316200000000.000610 31620000000000060.000000 340.000000 0.000230 316200000000.003174 0.000000
14679999999999.988281 100000000000000000.000000 290.000000 0.000230 14680000000000.289062 0.000000
14679999999999.988281 100000000000000000.000000 340.000000 0.000280 14680000000000.289062 0.000000
21540000000000.042969 5623000000000000.000000 305.000000 0.000180 21540000000000.394531 0.000000
4642000000000.007812 100000000000000000.000000 305.000000 0.000280 4642000000000.007812 0.000000
3162000000000.005859 17779999999999950.000000 305.000000 0.000380 3161999999999.979980 0.000000
316200000000.000610 100000000000000000.000000 330.000000 0.000280 316200000000.003174 0.000000
68129999999999.976562 56229999999999776.000000 300.000000 0.000230 68129999999999.695312 0.000000
68129999999999.976562 3162000000000006.000000 300.000000 0.000380 68129999999999.695312 0.000000
10000000000000.000000 1778000000000002.250000 315.000000 0.000280 10000000000000.082031 0.000000
10000000000000.000000 17779999999999950.000000 315.000000 0.000380 10000000000000.082031 0.000000
31620000000000.058594 17779999999999950.000000 330.000000 0.000280 31619999999999.152344 0.000000
14679999999.999989 10000000000000000.000000 300.000000 0.000380 14680000000.000349 0.000000
681299999999.999756 1000000000000000.000000 340.000000 0.000280 681299999999.996948 0.000000
1000000000000.000000 1000000000000000.000000 290.000000 0.000180 1000000000000.000000 0.000000
