N_B P001 P01 P1 P10
1.778E15 18.3333333333333 75.3333333333333 100 100
3.16200000000001E15 18 70 100 100
1E16 5.33333333333333 31.6666666666667 98.6666666666667 100
5.62299999999998E16 37.6666666666667 85.3333333333333 100 100
1E17 30.6666666666667 78 100 100
