Ytrue Nb T d Ypred RSE
10000000000.000000 1360000000000001.000000 290.000000 0.000380 11941461303.901709 0.031565
14679999999.999989 1360000000000001.000000 290.000000 0.000380 16910374042.121326 0.020039
21540000000.000042 1360000000000001.000000 290.000000 0.000380 24564056862.432384 0.017284
31620000000.000057 1360000000000001.000000 290.000000 0.000380 37727749205.699638 0.031271
46420000000.000084 1360000000000001.000000 290.000000 0.000380 54676678514.531166 0.026860
68129999999.999977 1360000000000001.000000 290.000000 0.000380 89506269267.140076 0.074933
100000000000.000000 1360000000000001.000000 290.000000 0.000380 131388876910.159164 0.074988
146799999999.999878 1360000000000001.000000 290.000000 0.000380 201721345876.601074 0.101860
215400000000.000427 1360000000000001.000000 290.000000 0.000380 303773501326.265930 0.119357
316200000000.000610 1360000000000001.000000 290.000000 0.000380 467373432150.911682 0.154641
464200000000.000854 1360000000000001.000000 290.000000 0.000380 721976002292.346069 0.198270
681299999999.999756 1360000000000001.000000 290.000000 0.000380 983091626305.803467 0.135982
1000000000000.000000 1360000000000001.000000 290.000000 0.000380 1476749435976.663086 0.153912
1467999999999.998779 1360000000000001.000000 290.000000 0.000380 2228784538674.889648 0.176901
2154000000000.004395 1360000000000001.000000 290.000000 0.000380 3194544544236.420898 0.157350
3162000000000.005859 1360000000000001.000000 290.000000 0.000380 4606452634148.629883 0.143245
4642000000000.007812 1360000000000001.000000 290.000000 0.000380 7201325336764.352539 0.195945
6812999999999.998047 1360000000000001.000000 290.000000 0.000380 11850324547227.328125 0.314290
10000000000000.000000 1360000000000001.000000 290.000000 0.000380 19680173950479.660156 0.476143
14679999999999.988281 1360000000000001.000000 290.000000 0.000380 33111156106597.605469 0.698883
21540000000000.042969 1360000000000001.000000 290.000000 0.000380 57741402768911.687500 1.053702
31620000000000.058594 1360000000000001.000000 290.000000 0.000380 77493428298949.031250 0.858807
46420000000000.085938 1360000000000001.000000 290.000000 0.000380 75664910393045.062500 0.243501
68129999999999.976562 1360000000000001.000000 290.000000 0.000380 83317726455935.765625 0.040636
100000000000000.000000 1360000000000001.000000 290.000000 0.000380 92611556998639.203125 0.005894
10000000000.000000 1360000000000001.000000 295.000000 0.000380 12894364258.047722 0.064969
14679999999.999989 1360000000000001.000000 295.000000 0.000380 18305301817.139385 0.048909
21540000000.000042 1360000000000001.000000 295.000000 0.000380 26321393631.260185 0.040323
31620000000.000057 1360000000000001.000000 295.000000 0.000380 38050955691.221977 0.034373
46420000000.000084 1360000000000001.000000 295.000000 0.000380 54444038972.496338 0.025476
68129999999.999977 1360000000000001.000000 295.000000 0.000380 90042292218.344360 0.078269
100000000000.000000 1360000000000001.000000 295.000000 0.000380 132288843889.131973 0.078810
146799999999.999878 1360000000000001.000000 295.000000 0.000380 204665176002.884064 0.111446
215400000000.000427 1360000000000001.000000 295.000000 0.000380 306114592646.265320 0.124803
316200000000.000610 1360000000000001.000000 295.000000 0.000380 471775831150.390015 0.162251
