Ytrue Nb T d Ypred RSE
31620000000000.058594 10000000000000000.000000 297.000000 0.000230 31620000000000.058594 0.000000
3162000000000.005859 100000000000000000.000000 310.000000 0.000230 3162000000000.031738 0.000000
1143000000000.001953 90000000000000064.000000 314.000000 0.000350 1143000000000.001953 0.000000
200900000000.000061 10000000000000000.000000 305.000000 0.000330 200899999999.997589 0.000000
57160000000.000046 5623000000000000.000000 335.000000 0.000380 57159999999.998405 0.000000
6812999999999.998047 10000000000000000.000000 315.000000 0.000180 6813000000000.025391 0.000000
21540000000000.042969 10000000000000000.000000 312.000000 0.000230 21540000000000.394531 0.000000
4642000000000.007812 56229999999999776.000000 335.000000 0.000280 4642000000000.027344 0.000000
100000000000000.000000 100000000000000000.000000 305.000000 0.000330 100000000000001.640625 0.000000
14679999999999.988281 17779999999999950.000000 300.000000 0.000180 14680000000000.167969 0.000000
1000000000000.000000 1778000000000002.250000 305.000000 0.000380 1000000000000.000000 0.000000
21540000000.000042 3162000000000006.000000 320.000000 0.000230 21539999999.999779 0.000000
215400000000.000427 100000000000000000.000000 310.000000 0.000330 215399999999.999542 0.000000
3162000000000.005859 1778000000000002.250000 295.000000 0.000230 3162000000000.031738 0.000000
14679999999.999989 56229999999999776.000000 300.000000 0.000330 14680000000.000528 0.000000
68129999999999.976562 45000000000000032.000000 305.000000 0.000280 68130000000002.765625 0.000000
2154000000000.004395 10000000000000000.000000 305.000000 0.000330 2154000000000.013184 0.000000
10000000000.000000 5623000000000000.000000 320.000000 0.000180 9999999999.999714 0.000000
68129999999.999977 17779999999999950.000000 295.000000 0.000230 68130000000.000534 0.000000
4642000000000.007812 1000000000000000.000000 320.000000 0.000330 4642000000000.027344 0.000000
146799999999.999878 10000000000000000.000000 302.000000 0.000230 146799999999.999878 0.000000
215400000000.000427 10000000000000000.000000 300.000000 0.000180 215399999999.999542 0.000000
1000000000000.000000 31620000000000060.000000 325.000000 0.000280 1000000000000.000000 0.000000
31620000000000.058594 17779999999999950.000000 310.000000 0.000330 31620000000000.058594 0.000000
464200000000.000854 10000000000000000.000000 295.000000 0.000230 464200000000.002747 0.000000
1000000000000.000000 31620000000000060.000000 300.000000 0.000230 1000000000000.000000 0.000000
14679999999.999989 1778000000000002.250000 310.000000 0.000380 14680000000.000528 0.000000
14679999999.999989 3162000000000006.000000 305.000000 0.000330 14680000000.000528 0.000000
464200000000.000854 10000000000000000.000000 300.000000 0.000380 464200000000.002747 0.000000
31620000000.000057 56229999999999776.000000 340.000000 0.000330 31620000000.000057 0.000000
8019999999999.998047 56229999999999776.000000 330.000000 0.000180 8019999999999.998047 0.000000
10000000000000.000000 7500000000000001.000000 305.000000 0.000180 9999999999999.917969 0.000000
3162000000000.005859 17779999999999950.000000 290.000000 0.000180 3162000000000.031738 0.000000
215400000000.000427 3162000000000006.000000 320.000000 0.000330 215399999999.999542 0.000000
10000000000000.000000 3162000000000006.000000 325.000000 0.000330 9999999999999.917969 0.000000
10000000000.000000 5623000000000000.000000 330.000000 0.000280 9999999999.999714 0.000000
681299999999.999756 56229999999999776.000000 335.000000 0.000330 681299999999.999756 0.000000
21540000000000.042969 10000000000000000.000000 295.000000 0.000230 21540000000000.394531 0.000000
1467999999999.998779 100000000000000000.000000 320.000000 0.000280 1467999999999.998779 0.000000
21540000000000.042969 1000000000000000.000000 330.000000 0.000330 21540000000000.394531 0.000000
3162000000000.005859 56229999999999776.000000 305.000000 0.000180 3162000000000.031738 0.000000
100000000000000.000000 10000000000000000.000000 290.000000 0.000280 100000000000001.640625 0.000000
46670000000000.085938 8500000000000002.000000 304.000000 0.000350 46670000000000.468750 0.000000
68129999999999.976562 31620000000000060.000000 305.000000 0.000180 68130000000002.765625 0.000000
100000000000000.000000 1778000000000002.250000 325.000000 0.000180 100000000000001.640625 0.000000
14679999999.999989 56229999999999776.000000 320.000000 0.000330 14680000000.000528 0.000000
14679999999999.988281 100000000000000000.000000 290.000000 0.000330 14680000000000.167969 0.000000
68129999999999.976562 56229999999999776.000000 295.000000 0.000330 68130000000002.765625 0.000000
215400000000.000427 31620000000000060.000000 325.000000 0.000230 215399999999.999542 0.000000
68129999999999.976562 10000000000000000.000000 330.000000 0.000380 68130000000002.765625 0.000000
10000000000.000000 80000000000000032.000000 330.000000 0.000180 9999999999.999714 0.000000
681299999999.999756 56229999999999776.000000 325.000000 0.000280 681299999999.999756 0.000000
31620000000.000057 5623000000000000.000000 300.000000 0.000380 31620000000.000057 0.000000
2154000000000.004395 56229999999999776.000000 315.000000 0.000280 2154000000000.013184 0.000000
100000000000.000000 17779999999999950.000000 340.000000 0.000380 100000000000.002457 0.000000
1000000000000.000000 1000000000000000.000000 290.000000 0.000280 1000000000000.000000 0.000000
215400000000.000427 1000000000000000.000000 290.000000 0.000280 215399999999.999542 0.000000
2154000000000.004395 100000000000000000.000000 340.000000 0.000380 2154000000000.013184 0.000000
100000000000.000000 1778000000000002.250000 305.000000 0.000380 100000000000.002457 0.000000
5041000000000.003906 1200000000000000.750000 294.000000 0.000350 5041000000000.086914 0.000000
1467999999999.998779 1000000000000000.000000 295.000000 0.000330 1467999999999.998779 0.000000
2154000000000.004395 20000000000000004.000000 300.000000 0.000330 2154000000000.013184 0.000000
215400000000.000427 100000000000000000.000000 290.000000 0.000280 215399999999.999542 0.000000
14679999999999.988281 31620000000000060.000000 320.000000 0.000180 14680000000000.167969 0.000000
1313999999999.998535 1000000000000000.000000 295.000000 0.000280 1313999999999.993164 0.000000
100000000000000.000000 56229999999999776.000000 290.000000 0.000180 100000000000001.640625 0.000000
464200000000.000854 5623000000000000.000000 340.000000 0.000180 464200000000.002747 0.000000
31620000000000.058594 100000000000000000.000000 300.000000 0.000180 31620000000000.058594 0.000000
21540000000.000042 56229999999999776.000000 330.000000 0.000180 21539999999.999779 0.000000
6812999999999.998047 5623000000000000.000000 300.000000 0.000280 6813000000000.025391 0.000000
46420000000.000084 56229999999999776.000000 340.000000 0.000330 46420000000.000656 0.000000
10000000000.000000 31620000000000060.000000 310.000000 0.000180 9999999999.999714 0.000000
46420000000.000084 1000000000000000.000000 320.000000 0.000280 46420000000.000656 0.000000
21540000000.000042 100000000000000000.000000 325.000000 0.000330 21539999999.999779 0.000000
316200000000.000610 31620000000000060.000000 335.000000 0.000230 316199999999.999268 0.000000
1467999999999.998779 1000000000000000.000000 320.000000 0.000230 1467999999999.998779 0.000000
100000000000.000000 31620000000000060.000000 315.000000 0.000280 100000000000.002457 0.000000
100000000000000.000000 1778000000000002.250000 340.000000 0.000280 100000000000001.640625 0.000000
68129999999.999977 56229999999999776.000000 307.000000 0.000330 68130000000.000534 0.000000
215400000000.000427 31620000000000060.000000 290.000000 0.000180 215399999999.999542 0.000000
464200000000.000854 17779999999999950.000000 330.000000 0.000280 464200000000.002747 0.000000
464200000000.000854 3162000000000006.000000 295.000000 0.000230 464200000000.002747 0.000000
316200000000.000610 56229999999999776.000000 317.000000 0.000330 316199999999.999268 0.000000
3362000000000.000000 100000000000000000.000000 315.000000 0.000230 3361999999999.958496 0.000000
59760000000000.046875 90000000000000064.000000 314.000000 0.000350 59759999999997.601562 0.000000
1000000000000.000000 1778000000000002.250000 315.000000 0.000230 1000000000000.000000 0.000000
68129999999.999977 10000000000000000.000000 315.000000 0.000380 68130000000.000534 0.000000
464200000000.000854 56229999999999776.000000 305.000000 0.000180 464200000000.002747 0.000000
215400000000.000427 100000000000000000.000000 325.000000 0.000330 215399999999.999542 0.000000
31620000000000.058594 1360000000000001.000000 315.000000 0.000380 31620000000000.058594 0.000000
10000000000.000000 10000000000000000.000000 340.000000 0.000380 9999999999.999714 0.000000
146799999999.999878 3162000000000006.000000 295.000000 0.000380 146799999999.999878 0.000000
14679999999.999989 5623000000000000.000000 300.000000 0.000180 14680000000.000528 0.000000
1464000000000.001465 8500000000000002.000000 324.000000 0.000350 1464000000000.007568 0.000000
46420000000.000084 10000000000000000.000000 295.000000 0.000180 46420000000.000656 0.000000
82739999999.999969 4500000000000003.000000 333.000000 0.000200 82740000000.000992 0.000000
82739999999.999969 4500000000000003.000000 313.000000 0.000200 82740000000.000992 0.000000
316200000000.000610 5623000000000000.000000 320.000000 0.000330 316199999999.999268 0.000000
2154000000000.004395 100000000000000000.000000 315.000000 0.000280 2154000000000.013184 0.000000
10000000000.000000 3162000000000006.000000 330.000000 0.000330 9999999999.999714 0.000000
681299999999.999756 10000000000000000.000000 300.000000 0.000180 681299999999.999756 0.000000
3162000000000.005859 5623000000000000.000000 295.000000 0.000380 3162000000000.031738 0.000000
68129999999999.976562 17779999999999950.000000 330.000000 0.000330 68130000000002.765625 0.000000
100000000000.000000 17779999999999950.000000 320.000000 0.000330 100000000000.002457 0.000000
31620000000000.058594 1000000000000000.000000 325.000000 0.000230 31620000000000.058594 0.000000
10000000000.000000 17779999999999950.000000 320.000000 0.000230 9999999999.999714 0.000000
21540000000000.042969 100000000000000000.000000 330.000000 0.000280 21540000000000.394531 0.000000
10000000000000.000000 17779999999999950.000000 320.000000 0.000280 9999999999999.917969 0.000000
4642000000000.007812 56229999999999776.000000 315.000000 0.000380 4642000000000.027344 0.000000
21540000000000.042969 17779999999999950.000000 300.000000 0.000180 21540000000000.394531 0.000000
46420000000.000084 20000000000000004.000000 290.000000 0.000330 46420000000.000656 0.000000
31620000000.000057 17779999999999950.000000 295.000000 0.000230 31620000000.000057 0.000000
4642000000000.007812 1000000000000000.000000 300.000000 0.000230 4642000000000.027344 0.000000
68129999999.999977 7500000000000001.000000 315.000000 0.000180 68130000000.000534 0.000000
100000000000000.000000 5623000000000000.000000 320.000000 0.000330 100000000000001.640625 0.000000
68129999999999.976562 31620000000000060.000000 320.000000 0.000330 68130000000002.765625 0.000000
681299999999.999756 1778000000000002.250000 335.000000 0.000230 681299999999.999756 0.000000
215400000000.000427 17779999999999950.000000 330.000000 0.000330 215399999999.999542 0.000000
238199999999.999695 4500000000000003.000000 298.000000 0.000200 238199999999.998718 0.000000
4642000000000.007812 56229999999999776.000000 292.000000 0.000330 4642000000000.027344 0.000000
2154000000000.004395 1000000000000000.000000 325.000000 0.000180 2154000000000.013184 0.000000
6812999999999.998047 1778000000000002.250000 300.000000 0.000230 6813000000000.025391 0.000000
21540000000.000042 5623000000000000.000000 310.000000 0.000230 21539999999.999779 0.000000
146799999999.999878 5623000000000000.000000 300.000000 0.000380 146799999999.999878 0.000000
10000000000000.000000 5623000000000000.000000 320.000000 0.000230 9999999999999.917969 0.000000
1173000000000.001465 56229999999999776.000000 300.000000 0.000180 1173000000000.001465 0.000000
14679999999999.988281 10000000000000000.000000 325.000000 0.000380 14680000000000.167969 0.000000
4642000000000.007812 1000000000000000.000000 315.000000 0.000230 4642000000000.027344 0.000000
146799999999.999878 31620000000000060.000000 330.000000 0.000380 146799999999.999878 0.000000
1467999999999.998779 31620000000000060.000000 325.000000 0.000230 1467999999999.998779 0.000000
46420000000000.085938 100000000000000000.000000 315.000000 0.000230 46420000000000.843750 0.000000
5377000000000.003906 1000000000000000.000000 305.000000 0.000280 5376999999999.916016 0.000000
68129999999999.976562 10000000000000000.000000 335.000000 0.000280 68130000000002.765625 0.000000
68129999999999.976562 1778000000000002.250000 335.000000 0.000180 68130000000002.765625 0.000000
56270000000000.039062 100000000000000000.000000 320.000000 0.000230 56269999999999.117188 0.000000
21540000000000.042969 1778000000000002.250000 327.000000 0.000380 21540000000000.394531 0.000000
100000000000.000000 5623000000000000.000000 315.000000 0.000180 100000000000.002457 0.000000
2154000000000.004395 1778000000000002.250000 325.000000 0.000380 2154000000000.013184 0.000000
146799999999.999878 5623000000000000.000000 300.000000 0.000330 146799999999.999878 0.000000
464200000000.000854 3162000000000006.000000 291.000000 0.000180 464200000000.002747 0.000000
21540000000.000042 17779999999999950.000000 340.000000 0.000330 21539999999.999779 0.000000
1467999999999.998779 10000000000000000.000000 310.000000 0.000330 1467999999999.998779 0.000000
215400000000.000427 17779999999999950.000000 305.000000 0.000180 215399999999.999542 0.000000
158100000000.000275 90000000000000064.000000 334.000000 0.000350 158099999999.999634 0.000000
46420000000000.085938 56229999999999776.000000 290.000000 0.000230 46420000000000.843750 0.000000
31620000000.000057 3162000000000006.000000 305.000000 0.000230 31620000000.000057 0.000000
10000000000000.000000 3162000000000006.000000 305.000000 0.000230 9999999999999.917969 0.000000
21540000000.000042 10000000000000000.000000 305.000000 0.000180 21539999999.999779 0.000000
6812999999999.998047 17779999999999950.000000 330.000000 0.000180 6813000000000.025391 0.000000
25080000000.000031 56229999999999776.000000 310.000000 0.000180 25080000000.001057 0.000000
10000000000.000000 10000000000000000.000000 315.000000 0.000230 9999999999.999714 0.000000
46420000000.000084 5623000000000000.000000 305.000000 0.000280 46420000000.000656 0.000000
72180000000000.046875 5623000000000000.000000 305.000000 0.000380 72180000000000.921875 0.000000
