fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
0004 8:36 254.2 45.611 1.000000000E+00 5.879619856E+01 1.366525693E-08 2.441234692E+09 1.055756537E+00 5.425207473E-08 8.862133144E-02 
0004 8:36 254.2 45.611 1.000000000E+00 3.098629178E-19 1.621695919E-08 2.185471165E+11 2.500000000E+00 3.657434668E-07 5.279901086E-02 
0004 8:36 254.2 45.611 1.000000000E+00 2.115470676E-32 2.264445089E-08 1.420366281E+16 2.499539658E+00 2.711366628E-07 4.302062231E-02 
0004 8:36 254.2 45.611 1.000000000E+00 6.498694054E-19 1.822015426E-08 7.029326158E+11 1.924221315E+00 2.331466915E-07 3.730187559E-02 
0004 8:36 254.2 45.611 1.000000000E+00 2.413721470E-04 1.376432416E-08 2.502094765E+11 1.363419707E+00 1.387867428E-07 1.792823978E-02 
0004 8:36 254.2 45.611 1.000000000E+00 1.000000000E-40 1.880325511E-08 5.986247238E+10 2.500000000E+00 3.322709307E-07 4.488131942E-02 
0004 8:36 254.2 45.611 1.000000000E+00 1.603812335E-04 3.075851202E-09 1.000000000E+20 1.103719119E+00 6.171690599E-08 3.460307263E-02 
0004 8:36 254.2 45.611 1.000000000E+00 7.430266965E-18 2.093468525E-08 6.144280188E+17 2.500000000E+00 2.918848815E-07 4.210365834E-02 
0004 8:36 254.2 45.611 1.000000000E+00 3.475374775E-31 1.075815460E-08 2.353764560E+10 1.274902834E+00 1.194512736E-07 1.389551625E-02 
0004 8:36 254.2 45.611 1.000000000E+00 4.469218711E-18 2.065228532E-08 4.838363622E+14 1.583458077E+00 1.481854408E-07 2.893057556E-02 
0004 8:36 254.2 45.611 1.000000000E+00 4.341672581E-08 1.815649169E-08 3.171970370E+08 2.373747429E+00 3.135850263E-07 4.500841841E-02 
0004 8:36 254.2 45.611 1.000000000E+00 5.825767451E-25 2.248297224E-08 2.394078781E+08 2.500000000E+00 2.768096826E-07 4.278753928E-02 
0004 8:36 254.2 45.611 1.000000000E+00 4.066969168E-25 2.170853515E-08 3.726460958E+05 2.500000000E+00 1.824295638E-07 4.682336846E-02 
0004 8:36 254.2 45.611 1.000000000E+00 6.391095119E-12 2.478590587E-08 1.754111597E+15 2.500000000E+00 2.187202887E-07 4.861134054E-02 
0004 8:36 254.2 45.611 1.000000000E+00 6.697881502E-02 2.217473448E-08 1.258244580E+18 2.457474071E+00 2.710959942E-07 3.981799756E-02 
0004 8:36 254.2 45.611 1.000000000E+00 1.569334944E-10 8.726195490E-09 1.099925059E+17 1.028256861E+00 1.889951804E-08 6.795209348E-02 
0004 8:36 254.2 45.611 1.000000000E+00 6.467944090E-38 1.705410750E-08 7.893609011E+08 1.384821315E+00 1.223938291E-07 1.956184324E-02 
0004 8:36 254.2 45.611 1.000000000E+00 2.582880405E+00 2.644716659E-08 1.825347765E+07 2.444364197E+00 2.754795656E-07 4.352384981E-02 
0004 8:36 254.2 45.611 1.000000000E+00 9.733325202E-01 2.593816226E-08 3.833989654E+09 2.445805253E+00 2.681965030E-07 3.261531947E-02 
0004 8:36 254.2 45.611 1.000000000E+00 1.126593343E-01 1.863504940E-08 1.261343989E+10 2.218674822E+00 2.853416508E-07 4.166800460E-02 
0004 8:36 254.2 45.611 1.000000000E+00 8.670133337E-03 6.797570046E-09 5.062707107E+08 1.560871911E+00 2.447621996E-07 7.107355421E-02 
