fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
0004 8:36 254.2 45.611 1.000000000E+00 3.142703529E-03 1.909343719E-08 1.000000000E+20 2.500000000E+00 2.532829839E-07 4.563039906E-02 
0004 8:36 254.2 45.611 1.000000000E+00 2.390978078E-30 2.428890410E-08 1.000000000E+20 1.882880707E+00 1.768480319E-07 4.232698497E-02 
0004 8:36 254.2 45.611 1.000000000E+00 2.941771563E-34 4.487765852E-10 1.040539593E+11 1.159490621E+00 1.043649026E-07 1.465965279E-02 
0004 8:36 254.2 45.611 1.000000000E+00 9.592967421E+01 3.043611856E-08 1.000000000E+20 1.284273933E+00 8.382320661E-08 9.393773354E-02 
0004 8:36 254.2 45.611 1.000000000E+00 6.058552446E-35 1.616806650E-08 7.226423340E+10 2.500000000E+00 3.721231828E-07 5.318271066E-02 
0004 8:36 254.2 45.611 1.000000000E+00 7.392656721E-01 2.565665134E-08 3.323444072E+13 2.078227026E+00 2.162966052E-07 2.863780598E-02 
0004 8:36 254.2 45.611 1.000000000E+00 1.807345999E-26 2.048475091E-08 7.792310478E+06 2.500000000E+00 3.206029000E-07 4.291109326E-02 
0004 8:36 254.2 45.611 1.000000000E+00 6.134360443E-36 2.048600988E-08 5.518270978E+19 1.653162914E+00 1.661608283E-07 2.961487621E-02 
0004 8:36 254.2 45.611 1.000000000E+00 1.407060377E-34 1.068111961E-08 6.353925435E+07 1.837488111E+00 2.804255905E-07 6.575061460E-02 
0004 8:36 254.2 45.611 1.000000000E+00 5.573307870E-38 2.093317268E-08 5.229732313E+09 2.261886226E+00 2.668528757E-07 3.987814298E-02 
0004 8:36 254.2 45.611 1.000000000E+00 5.163164816E+01 5.066586599E-08 1.373071847E+11 2.261971267E+00 9.973316518E-08 8.532273414E-02 
0004 8:36 254.2 45.611 1.000000000E+00 1.497293691E-32 1.390104960E-08 2.354914682E+17 1.343663741E+00 1.286831781E-07 1.609218716E-02 
0004 8:36 254.2 45.611 1.000000000E+00 1.067505743E+00 3.605930388E-08 7.677525839E+11 1.188297749E+00 3.879975454E-09 5.829003160E-02 
0004 8:36 254.2 45.611 1.000000000E+00 2.363617817E-19 2.156733619E-09 3.799893283E+06 1.077653366E+00 5.019858756E-08 4.255075214E-02 
0004 8:36 254.2 45.611 1.000000000E+00 5.498652530E-36 2.269091383E-08 1.000000000E+20 2.500000000E+00 2.791461113E-07 4.300279368E-02 
0004 8:36 254.2 45.611 1.000000000E+00 2.531234283E-03 2.202325387E-08 1.314860418E+15 2.307041812E+00 2.607731824E-07 4.067463007E-02 
0004 8:36 254.2 45.611 1.000000000E+00 6.755299407E-18 2.172709988E-08 1.245361840E+10 1.749291891E+00 1.658149883E-07 3.388678825E-02 
0004 8:36 254.2 45.611 1.000000000E+00 5.371672767E-23 2.113795786E-08 3.569864795E+11 2.495126789E+00 2.952284158E-07 4.201804241E-02 
0004 8:36 254.2 45.611 1.000000000E+00 1.437148524E-03 6.069882013E-09 2.621439583E+14 1.185467535E+00 9.518442374E-08 1.454480065E-02 
0004 8:36 254.2 45.611 1.000000000E+00 9.243758458E-18 1.871077159E-08 3.208353073E+15 1.828769259E+00 2.089295422E-07 3.399398071E-02 
0004 8:36 254.2 45.611 1.000000000E+00 2.492649360E-19 1.239557827E-08 2.283937771E+08 1.776773059E+00 2.987890066E-07 5.878264627E-02 
0004 8:36 254.2 45.611 1.000000000E+00 2.961143051E-17 2.366742452E-08 6.279586006E+07 2.500000000E+00 2.677765534E-07 4.469285793E-02 
0004 8:36 254.2 45.611 1.000000000E+00 7.064695288E-12 1.392248090E-08 2.360497444E+17 1.580244414E+00 1.992501475E-07 3.719389799E-02 
0004 8:36 254.2 45.611 1.000000000E+00 6.624455313E-23 1.843729177E-08 3.372986230E+11 1.614042282E+00 1.747974512E-07 2.727722954E-02 
0004 8:36 254.2 45.611 1.000000000E+00 2.957345568E-23 2.247191687E-08 1.650403975E+18 2.458703491E+00 2.726274827E-07 4.247493331E-02 
0004 8:36 254.2 45.611 1.000000000E+00 6.789071467E-19 2.302068431E-08 1.120620186E+05 2.500000000E+00 1.787883642E-08 6.188047212E-02 
0004 8:36 254.2 45.611 1.000000000E+00 1.619706168E+01 1.623525787E-08 8.442386819E+14 1.754040930E+00 2.233191528E-07 8.499093865E-02 
0004 8:36 254.2 45.611 1.000000000E+00 2.449828979E-03 3.442941398E-08 1.366569118E+11 1.069628903E+00 1.000000000E-23 1.008193254E-01 
0004 8:36 254.2 45.611 1.000000000E+00 4.813907212E-18 1.891012768E-08 1.105045237E+11 2.242291139E+00 2.842555017E-07 4.168221086E-02 
