X Y Xfit Y
8.8670000E-6 -2.3210000E-4 7.9028129E-4 -2.3210000E-4
8.5960000E-3 -2.3070000E-4 1.0004693E-2 -2.3070000E-4
1.8320000E-2 -2.2940000E-4 1.8424266E-2 -2.2940000E-4
2.8180000E-2 -2.2790000E-4 2.7966651E-2 -2.2790000E-4
3.8350000E-2 -2.2640000E-4 3.7315060E-2 -2.2640000E-4
4.8000000E-2 -2.2460000E-4 4.8265002E-2 -2.2460000E-4
5.9100000E-2 -2.2310000E-4 5.7157813E-2 -2.2310000E-4
6.9090000E-2 -2.2110000E-4 6.8675716E-2 -2.2110000E-4
7.8860000E-2 -2.1950000E-4 7.7604619E-2 -2.1950000E-4
8.8440000E-2 -2.1760000E-4 8.7873309E-2 -2.1760000E-4
9.8580000E-2 -2.1550000E-4 9.8798442E-2 -2.1550000E-4
1.0970000E-1 -2.1330000E-4 1.0976819E-1 -2.1330000E-4
1.1920000E-1 -2.1110000E-4 1.2025905E-1 -2.1110000E-4
1.2890000E-1 -2.0900000E-4 1.2983781E-1 -2.0900000E-4
1.3890000E-1 -2.0690000E-4 1.3900578E-1 -2.0690000E-4
1.4890000E-1 -2.0440000E-4 1.4940734E-1 -2.0440000E-4
1.6000000E-1 -2.0170000E-4 1.6004877E-1 -2.0170000E-4
1.6970000E-1 -1.9910000E-4 1.6975194E-1 -1.9910000E-4
1.7950000E-1 -1.9610000E-4 1.8033341E-1 -1.9610000E-4
1.8940000E-1 -1.9330000E-4 1.8966238E-1 -1.9330000E-4
1.9930000E-1 -1.9020000E-4 1.9942837E-1 -1.9020000E-4
2.0910000E-1 -1.8670000E-4 2.0981075E-1 -1.8670000E-4
2.2030000E-1 -1.8310000E-4 2.1985086E-1 -1.8310000E-4
2.3030000E-1 -1.7910000E-4 2.3033179E-1 -1.7910000E-4
2.4010000E-1 -1.7550000E-4 2.3922577E-1 -1.7550000E-4
2.5000000E-1 -1.7100000E-4 2.4971130E-1 -1.7100000E-4
2.5980000E-1 -1.6640000E-4 2.5979340E-1 -1.6640000E-4
2.7100000E-1 -1.6100000E-4 2.7091982E-1 -1.6100000E-4
2.8060000E-1 -1.5580000E-4 2.8101102E-1 -1.5580000E-4
2.9040000E-1 -1.5080000E-4 2.9021777E-1 -1.5080000E-4
3.0020000E-1 -1.4480000E-4 3.0071348E-1 -1.4480000E-4
3.1020000E-1 -1.3880000E-4 3.1069263E-1 -1.3880000E-4
3.2100000E-1 -1.3260000E-4 3.2054266E-1 -1.3260000E-4
3.3090000E-1 -1.2560000E-4 3.3118625E-1 -1.2560000E-4
3.4100000E-1 -1.1960000E-4 3.3996773E-1 -1.1960000E-4
3.5100000E-1 -1.1210000E-4 3.5057268E-1 -1.1210000E-4
3.6090000E-1 -1.0550000E-4 3.5961787E-1 -1.0550000E-4
3.7170000E-1 -9.6890000E-5 3.7108756E-1 -9.6890000E-5
3.8140000E-1 -8.8940000E-5 3.8141078E-1 -8.8940000E-5
3.9140000E-1 -8.1300000E-5 3.9114259E-1 -8.1300000E-5
4.0110000E-1 -7.3400000E-5 4.0105710E-1 -7.3400000E-5
4.2080000E-1 -5.8100000E-5 4.1998168E-1 -5.8100000E-5
4.4180000E-1 -3.9990000E-5 4.4221092E-1 -3.9990000E-5
4.6190000E-1 -2.4000000E-5 4.6196895E-1 -2.4000000E-5
4.8260000E-1 -6.3390000E-6 4.8422888E-1 -6.3390000E-6
5.0220000E-1 9.2060000E-6 5.0443144E-1 9.2060000E-6
5.5290000E-1 4.5020000E-5 5.5426848E-1 4.5020000E-5
6.0330000E-1 7.6420000E-5 6.0323413E-1 7.6420000E-5
6.5390000E-1 1.0410000E-4 6.5163146E-1 1.0410000E-4
7.0450000E-1 1.3030000E-4 7.0245413E-1 1.3030000E-4
7.5460000E-1 1.5430000E-4 7.5319604E-1 1.5430000E-4
8.0530000E-1 1.7760000E-4 8.0579422E-1 1.7760000E-4
8.5550000E-1 1.9960000E-4 8.5783421E-1 1.9960000E-4
9.0600000E-1 2.2030000E-4 9.0832974E-1 2.2030000E-4
9.5630000E-1 2.3990000E-4 9.5707967E-1 2.3990000E-4
1.0060000E+0 2.5820000E-4 1.0031383E+0 2.5820000E-4
