X Yfit
3.7160000E+1 6.1225000E-5
3.7740000E+1 4.1757500E-5
3.8510000E+1 2.7995000E-5
3.9180000E+1 1.8587500E-5
3.9820000E+1 1.2504000E-5
4.0610000E+1 8.3295000E-6
4.1330000E+1 5.8220000E-6
4.2070000E+1 4.1305000E-6
4.2850000E+1 2.9157500E-6
4.3740000E+1 2.1010000E-6
4.4580000E+1 1.5137750E-6
4.5650000E+1 1.0769250E-6
4.6660000E+1 7.6375000E-7
4.7730000E+1 5.3827500E-7
4.8860000E+1 3.7310000E-7
5.0080000E+1 2.6117500E-7
5.1190000E+1 1.8215250E-7
5.2420000E+1 1.2581500E-7
5.3700000E+1 8.7002500E-8
5.5080000E+1 5.9722500E-8
5.6530000E+1 4.0235000E-8
5.7910000E+1 2.7065000E-8
5.9550000E+1 1.7893250E-8
6.1150000E+1 1.1809750E-8
6.2770000E+1 7.6062500E-9
6.4520000E+1 4.8717500E-9
6.6400000E+1 3.0552500E-9
