N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+10 1.000E+17 290 1.500E-4 1.265321265E+00 1.330599496E+00 1.227497520E+00 1.238886242E+00
1.468000E+10 1.000E+17 290 1.500E-4 1.269396514E+00 1.330763149E+00 1.231411605E+00 1.239179937E+00
2.154000E+10 1.000E+17 290 1.500E-4 1.272253956E+00 1.330771726E+00 1.234339594E+00 1.239578657E+00
3.162000E+10 1.000E+17 290 1.500E-4 1.278715615E+00 1.330784028E+00 1.236610505E+00 1.240103679E+00
4.642000E+10 1.000E+17 290 1.500E-4 1.287889359E+00 1.330801658E+00 1.239061800E+00 1.240769362E+00
6.813000E+10 1.000E+17 290 1.500E-4 1.296417034E+00 1.330826783E+00 1.239696988E+00 1.241570250E+00
1.000000E+11 1.000E+17 290 1.500E-4 1.297184777E+00 1.330862188E+00 1.241385052E+00 1.242479460E+00
1.468000E+11 1.000E+17 290 1.500E-4 1.310878783E+00 1.330911271E+00 1.243627306E+00 1.250673140E+00
2.154000E+11 1.000E+17 290 1.500E-4 1.316693989E+00 1.330977747E+00 1.257013377E+00 1.257437521E+00
3.162000E+11 1.000E+17 290 1.500E-4 1.317046047E+00 1.331065004E+00 1.258305374E+00 1.258553331E+00
4.642000E+11 1.000E+17 290 1.500E-4 1.330793279E+00 1.331174939E+00 1.259095865E+00 1.260590163E+00
6.813000E+11 1.000E+17 290 1.500E-4 1.331060482E+00 1.331306598E+00 1.268629617E+00 1.268744195E+00
1.000000E+12 1.000E+17 290 1.500E-4 1.331298188E+00 1.331455193E+00 1.269396167E+00 1.269450549E+00
1.468000E+12 1.000E+17 290 1.500E-4 1.337805828E+00 1.345114779E+00 1.283743548E+00 1.283756690E+00
2.154000E+12 1.000E+17 290 1.500E-4 1.351455459E+00 1.355507439E+00 1.288623082E+00 1.289885861E+00
3.162000E+12 1.000E+17 290 1.500E-4 1.361009380E+00 1.361058118E+00 1.290341984E+00 1.290324345E+00
4.642000E+12 1.000E+17 290 1.500E-4 1.363615923E+00 1.371964817E+00 1.296175556E+00 1.297929335E+00
6.813000E+12 1.000E+17 290 1.500E-4 1.375165605E+00 1.375187382E+00 1.300239709E+00 1.300277749E+00
1.000000E+13 1.000E+17 290 1.500E-4 1.375305786E+00 1.375319693E+00 1.304834190E+00 1.304901392E+00
1.000000E+10 1.000E+17 295 1.500E-4 1.269933889E+00 1.325944771E+00 1.228934498E+00 1.243988305E+00
1.468000E+10 1.000E+17 295 1.500E-4 1.275349577E+00 1.325952019E+00 1.234004728E+00 1.244339794E+00
2.154000E+10 1.000E+17 295 1.500E-4 1.279179355E+00 1.325962454E+00 1.237811254E+00 1.244819945E+00
3.162000E+10 1.000E+17 295 1.500E-4 1.281860464E+00 1.325977495E+00 1.240761041E+00 1.245457526E+00
4.642000E+10 1.000E+17 295 1.500E-4 1.286089230E+00 1.325999103E+00 1.243163533E+00 1.246272827E+00
6.813000E+10 1.000E+17 295 1.500E-4 1.297154600E+00 1.326029947E+00 1.245233675E+00 1.247267283E+00
1.000000E+11 1.000E+17 295 1.500E-4 1.305616043E+00 1.326073459E+00 1.247802543E+00 1.248415161E+00
1.468000E+11 1.000E+17 295 1.500E-4 1.306354440E+00 1.326133864E+00 1.248670898E+00 1.249656216E+00
2.154000E+11 1.000E+17 295 1.500E-4 1.318424675E+00 1.326215788E+00 1.250610468E+00 1.251160212E+00
3.162000E+11 1.000E+17 295 1.500E-4 1.320292380E+00 1.326323510E+00 1.256401583E+00 1.260813633E+00
4.642000E+11 1.000E+17 295 1.500E-4 1.325991230E+00 1.326842079E+00 1.265930693E+00 1.266163282E+00
6.813000E+11 1.000E+17 295 1.500E-4 1.326320850E+00 1.339884436E+00 1.267008616E+00 1.267155934E+00
1.000000E+12 1.000E+17 295 1.500E-4 1.339875982E+00 1.340088681E+00 1.275632015E+00 1.276717955E+00
1.468000E+12 1.000E+17 295 1.500E-4 1.340170935E+00 1.340305462E+00 1.277471342E+00 1.277518559E+00
2.154000E+12 1.000E+17 295 1.500E-4 1.340428992E+00 1.340512804E+00 1.280639332E+00 1.282819972E+00
3.162000E+12 1.000E+17 295 1.500E-4 1.353972533E+00 1.354459034E+00 1.292263693E+00 1.292252433E+00
4.642000E+12 1.000E+17 295 1.500E-4 1.364381551E+00 1.364420481E+00 1.297681246E+00 1.297704143E+00
6.813000E+12 1.000E+17 295 1.500E-4 1.369848134E+00 1.369874456E+00 1.289229747E+00 1.290632645E+00
1.000000E+13 1.000E+17 295 1.500E-4 1.383577674E+00 1.383596230E+00 1.311240275E+00 1.311327997E+00
1.000000E+10 1.000E+17 300 1.500E-4 1.273224412E+00 1.329124825E+00 1.228838383E+00 1.248334201E+00
1.468000E+10 1.000E+17 300 1.500E-4 1.280294229E+00 1.329133913E+00 1.235263797E+00 1.248748060E+00
2.154000E+10 1.000E+17 300 1.500E-4 1.285346248E+00 1.329147062E+00 1.240115677E+00 1.249316848E+00
3.162000E+10 1.000E+17 300 1.500E-4 1.288909482E+00 1.329166080E+00 1.243878323E+00 1.250078088E+00
4.642000E+10 1.000E+17 300 1.500E-4 1.291403112E+00 1.329193457E+00 1.246935673E+00 1.251061343E+00
6.813000E+10 1.000E+17 300 1.500E-4 1.293143770E+00 1.329232563E+00 1.249564174E+00 1.252275807E+00
1.000000E+11 1.000E+17 300 1.500E-4 1.306322233E+00 1.329287796E+00 1.251935024E+00 1.253696281E+00
1.468000E+11 1.000E+17 300 1.500E-4 1.314700834E+00 1.329364544E+00 1.254381951E+00 1.255258716E+00
2.154000E+11 1.000E+17 300 1.500E-4 1.315424379E+00 1.329468778E+00 1.256100932E+00 1.256946261E+00
3.162000E+11 1.000E+17 300 1.500E-4 1.315975995E+00 1.329606081E+00 1.258437952E+00 1.258901048E+00
4.642000E+11 1.000E+17 300 1.500E-4 1.329186217E+00 1.335052932E+00 1.260035225E+00 1.260320742E+00
6.813000E+11 1.000E+17 300 1.500E-4 1.329606094E+00 1.335274816E+00 1.272397533E+00 1.273936760E+00
1.000000E+12 1.000E+17 300 1.500E-4 1.335267868E+00 1.335526820E+00 1.274936846E+00 1.275066792E+00
1.468000E+12 1.000E+17 300 1.500E-4 1.335631407E+00 1.341429935E+00 1.276182946E+00 1.278263968E+00
2.154000E+12 1.000E+17 300 1.500E-4 1.349003219E+00 1.349115439E+00 1.285551751E+00 1.285571674E+00
3.162000E+12 1.000E+17 300 1.500E-4 1.349365869E+00 1.349436759E+00 1.286286134E+00 1.286261981E+00
4.642000E+12 1.000E+17 300 1.500E-4 1.349657305E+00 1.350500835E+00 1.300096514E+00 1.300104540E+00
6.813000E+12 1.000E+17 300 1.500E-4 1.370008940E+00 1.373017044E+00 1.290767703E+00 1.290732936E+00
1.000000E+13 1.000E+17 300 1.500E-4 1.378434384E+00 1.378456778E+00 1.293692469E+00 1.293808202E+00
1.000000E+10 1.000E+17 305 1.500E-4 1.274898859E+00 1.324836479E+00 1.216505504E+00 1.251112806E+00
1.468000E+10 1.000E+17 305 1.500E-4 1.283955075E+00 1.324847450E+00 1.234449843E+00 1.251617684E+00
2.154000E+10 1.000E+17 305 1.500E-4 1.290509264E+00 1.324863387E+00 1.240520897E+00 1.252314256E+00
3.162000E+10 1.000E+17 305 1.500E-4 1.295174347E+00 1.324886457E+00 1.245259232E+00 1.253251474E+00
4.642000E+10 1.000E+17 305 1.500E-4 1.298460218E+00 1.324919682E+00 1.249123827E+00 1.254470473E+00
6.813000E+10 1.000E+17 305 1.500E-4 1.300764458E+00 1.324967189E+00 1.252457208E+00 1.255988996E+00
1.000000E+11 1.000E+17 305 1.500E-4 1.302384573E+00 1.325034335E+00 1.255478489E+00 1.257783364E+00
1.468000E+11 1.000E+17 305 1.500E-4 1.315293020E+00 1.325127732E+00 1.258290503E+00 1.259778951E+00
2.154000E+11 1.000E+17 305 1.500E-4 1.316214109E+00 1.325254738E+00 1.261373141E+00 1.262085775E+00
3.162000E+11 1.000E+17 305 1.500E-4 1.324318752E+00 1.325422325E+00 1.264128529E+00 1.264557705E+00
4.642000E+11 1.000E+17 305 1.500E-4 1.324914020E+00 1.329349929E+00 1.266293170E+00 1.266675073E+00
6.813000E+11 1.000E+17 305 1.500E-4 1.325426231E+00 1.338452170E+00 1.267598595E+00 1.267846012E+00
1.000000E+12 1.000E+17 305 1.500E-4 1.338447284E+00 1.338772578E+00 1.272069547E+00 1.274267739E+00
1.468000E+12 1.000E+17 305 1.500E-4 1.338909197E+00 1.344336936E+00 1.282722922E+00 1.282810639E+00
2.154000E+12 1.000E+17 305 1.500E-4 1.344560773E+00 1.344696343E+00 1.283931313E+00 1.283940093E+00
