X Y Yfit
5.1000000E-2 1.2620000E-7 1.9858186E-7
1.0100000E-1 1.8200000E-7 2.1642384E-7
1.5100000E-1 2.2610000E-7 2.3563098E-7
2.0100000E-1 2.6610000E-7 2.5628395E-7
3.0100000E-1 3.4810000E-7 3.0226278E-7
4.0100000E-1 4.2860000E-7 3.5505440E-7
5.0100000E-1 5.1910000E-7 4.1538623E-7
6.0200000E-1 6.1470000E-7 4.8474289E-7
7.0200000E-1 7.1730000E-7 5.6252916E-7
8.0200000E-1 8.2500000E-7 6.5016802E-7
9.0200000E-1 9.4170000E-7 7.4843336E-7
1.0020000E+0 1.0650000E-6 8.5807971E-7
1.1030000E+0 1.1970000E-6 9.8110719E-7
1.2030000E+0 1.3360000E-6 1.1157512E-6
1.3030000E+0 1.4820000E-6 1.2637618E-6
1.4030000E+0 1.6350000E-6 1.4256406E-6
1.5030000E+0 1.7940000E-6 1.6017762E-6
1.6030000E+0 1.9650000E-6 1.7924234E-6
1.7030000E+0 2.1360000E-6 1.9976819E-6
1.8040000E+0 2.3210000E-6 2.2197472E-6
1.9040000E+0 2.5080000E-6 2.4539496E-6
2.0040000E+0 2.7080000E-6 2.7019340E-6
2.1040000E+0 2.9130000E-6 2.9629942E-6
2.2040000E+0 3.1250000E-6 3.2361887E-6
2.3040000E+0 3.3390000E-6 3.5203337E-6
2.4040000E+0 3.5650000E-6 3.8140009E-6
2.5040000E+0 3.7960000E-6 4.1155200E-6
2.6050000E+0 4.0360000E-6 4.4260842E-6
2.7050000E+0 4.2830000E-6 4.7373994E-6
2.8050000E+0 4.5300000E-6 5.0501851E-6
2.9050000E+0 4.7970000E-6 5.3619352E-6
3.0050000E+0 5.0640000E-6 5.6699965E-6
3.1060000E+0 5.3510000E-6 5.9745777E-6
3.2060000E+0 5.6380000E-6 6.2667857E-6
3.3060000E+0 5.9350000E-6 6.5468056E-6
3.4060000E+0 6.2510000E-6 6.8117862E-6
3.5060000E+0 6.5780000E-6 7.0589408E-6
3.6060000E+0 6.9040000E-6 7.2855951E-6
3.7070000E+0 7.2400000E-6 7.4911478E-6
3.8070000E+0 7.5870000E-6 7.6692036E-6
3.9070000E+0 7.9520000E-6 7.8198627E-6
4.0070000E+0 8.2690000E-6 7.9413614E-6
4.1070000E+0 8.6250000E-6 8.0322600E-6
4.2080000E+0 8.9610000E-6 8.0919011E-6
4.3080000E+0 9.3370000E-6 8.1183872E-6
4.4080000E+0 9.7030000E-6 8.1121491E-6
4.5080000E+0 1.0090000E-5 8.0732622E-6
