X Y Yfit
-8.0000000E-4 -1.8970000E-4 -1.9010109E-4
8.8000000E-3 -1.8930000E-4 -1.8959892E-4
1.9300000E-2 -1.8870000E-4 -1.8897822E-4
2.9100000E-2 -1.8810000E-4 -1.8832181E-4
3.8800000E-2 -1.8750000E-4 -1.8758883E-4
4.8700000E-2 -1.8680000E-4 -1.8674359E-4
5.9700000E-2 -1.8580000E-4 -1.8567318E-4
6.9600000E-2 -1.8480000E-4 -1.8457411E-4
7.9500000E-2 -1.8360000E-4 -1.8332858E-4
8.9600000E-2 -1.8200000E-4 -1.8188576E-4
9.9200000E-2 -1.8040000E-4 -1.8033048E-4
1.0930000E-1 -1.7850000E-4 -1.7847340E-4
1.1870000E-1 -1.7640000E-4 -1.7651412E-4
1.2880000E-1 -1.7390000E-4 -1.7412537E-4
1.3850000E-1 -1.7120000E-4 -1.7151650E-4
1.4990000E-1 -1.6750000E-4 -1.6799561E-4
1.5920000E-1 -1.6410000E-4 -1.6470588E-4
1.6930000E-1 -1.6000000E-4 -1.6064355E-4
1.7870000E-1 -1.5560000E-4 -1.5633910E-4
1.8910000E-1 -1.5020000E-4 -1.5089938E-4
1.9900000E-1 -1.4450000E-4 -1.4495938E-4
2.0980000E-1 -1.3720000E-4 -1.3749292E-4
2.1870000E-1 -1.3030000E-4 -1.3044383E-4
2.2860000E-1 -1.2170000E-4 -1.2149658E-4
2.3930000E-1 -1.1090000E-4 -1.1029630E-4
2.5110000E-1 -9.6520000E-5 -9.5746341E-5
2.5920000E-1 -8.5300000E-5 -8.4173902E-5
2.6880000E-1 -6.9920000E-5 -6.8473296E-5
2.7880000E-1 -5.1310000E-5 -4.9402689E-5
2.8880000E-1 -2.9100000E-5 -2.6979841E-5
2.9940000E-1 -1.0650000E-6 1.2915370E-6
3.0920000E-1 3.0690000E-5 3.2551767E-5
3.1900000E-1 6.7590000E-5 6.9990491E-5
3.2900000E-1 1.1410000E-4 1.1625498E-4
3.4140000E-1 1.8660000E-4 1.8846975E-4
3.5080000E-1 2.5550000E-4 2.5771601E-4
3.6120000E-1 3.5150000E-4 3.5393969E-4
3.7030000E-1 4.5840000E-4 4.6045632E-4
3.7980000E-1 5.9890000E-4 6.0129305E-4
3.8890000E-1 7.7350000E-4 7.7386009E-4
3.9910000E-1 1.0250000E-3 1.0264113E-3
4.1100000E-1 1.4300000E-3 1.4309987E-3
4.2080000E-1 1.8840000E-3 1.8886012E-3
4.3140000E-1 2.5460000E-3 2.5606565E-3
4.4110000E-1 3.3730000E-3 3.3947917E-3
4.5050000E-1 4.4350000E-3 4.4700396E-3
4.5960000E-1 5.7720000E-3 5.8350922E-3
4.6860000E-1 7.5000000E-3 7.5802751E-3
4.7870000E-1 1.0050000E-2 1.0115604E-2
4.9080000E-1 1.4110000E-2 1.4125681E-2
5.0150000E-1 1.8810000E-2 1.8698780E-2
5.1070000E-1 2.3860000E-2 2.3477757E-2
