X Y Yfit
1.0000000E-4 1.8400000E-8 2.6310319E-8
9.9000000E-3 3.0990000E-6 2.7592996E-6
1.9000000E-2 6.1840000E-6 5.5922641E-6
2.9300000E-2 9.9670000E-6 9.1829658E-6
4.0200000E-2 1.4460000E-5 1.3482616E-5
5.0700000E-2 1.9210000E-5 1.8174119E-5
6.0500000E-2 2.4180000E-5 2.3102023E-5
7.0700000E-2 2.9900000E-5 2.8864975E-5
8.1200000E-2 3.6660000E-5 3.5557707E-5
9.1000000E-2 4.3670000E-5 4.2587487E-5
9.9000000E-2 5.0130000E-5 4.8951612E-5
1.0950000E-1 5.9590000E-5 5.8256859E-5
1.1960000E-1 6.9840000E-5 6.8347439E-5
1.2940000E-1 8.1130000E-5 7.9340242E-5
1.4090000E-1 9.5930000E-5 9.3945260E-5
1.5030000E-1 1.0990000E-4 1.0742363E-4
1.5890000E-1 1.2370000E-4 1.2111516E-4
1.7030000E-1 1.4450000E-4 1.4151001E-4
1.8090000E-1 1.6600000E-4 1.6306005E-4
1.8910000E-1 1.8470000E-4 1.8165187E-4
2.0010000E-1 2.1250000E-4 2.0954628E-4
2.0930000E-1 2.3850000E-4 2.3577758E-4
2.2090000E-1 2.7550000E-4 2.7311380E-4
2.2860000E-1 3.0290000E-4 3.0082873E-4
2.4030000E-1 3.4930000E-4 3.4798969E-4
2.5030000E-1 3.9380000E-4 3.9371142E-4
2.6010000E-1 4.4350000E-4 4.4399051E-4
2.6990000E-1 4.9860000E-4 5.0034982E-4
2.7920000E-1 5.5750000E-4 5.6013245E-4
2.9020000E-1 6.3530000E-4 6.3976491E-4
2.9860000E-1 7.0250000E-4 7.0787420E-4
3.1140000E-1 8.1820000E-4 8.2550378E-4
3.2110000E-1 9.1820000E-4 9.2728518E-4
3.3080000E-1 1.0310000E-3 1.0415365E-3
3.4000000E-1 1.1510000E-3 1.1629226E-3
3.4910000E-1 1.2850000E-3 1.2971098E-3
3.6050000E-1 1.4740000E-3 1.4879395E-3
3.7070000E-1 1.6690000E-3 1.6835236E-3
3.7870000E-1 1.8410000E-3 1.8559889E-3
3.9090000E-1 2.1380000E-3 2.1570479E-3
3.9950000E-1 2.3840000E-3 2.4018763E-3
4.0910000E-1 2.6960000E-3 2.7135517E-3
4.1970000E-1 3.0950000E-3 3.1146283E-3
4.2910000E-1 3.5150000E-3 3.5318818E-3
4.3910000E-1 4.0370000E-3 4.0552978E-3
4.4930000E-1 4.6850000E-3 4.6958606E-3
4.6020000E-1 5.5290000E-3 5.5340046E-3
4.6990000E-1 6.4580000E-3 6.4523500E-3
4.7960000E-1 7.5900000E-3 7.5795337E-3
4.8920000E-1 8.9720000E-3 8.9549813E-3
4.9900000E-1 1.0710000E-2 1.0691914E-2
5.1000000E-1 1.3150000E-2 1.3135341E-2
5.1900000E-1 1.5640000E-2 1.5597493E-2
5.2960000E-1 1.9090000E-2 1.9113953E-2
5.4070000E-1 2.3600000E-2 2.3586677E-2
