fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
0T01 13:56:02 295 39.302 1.000000000E+00 7.257192668E-01 1.562861606E-11 7.746737352E+17 3.371597776E+00 2.256172984E-05 8.726239642E-03 
0T01 13:56:02 295 39.302 1.000000000E+00 7.257192348E-01 1.562861552E-11 1.481024594E+18 3.371597773E+00 2.256172979E-05 8.726239642E-03 
0T01 13:56:02 295 39.302 1.000000000E+00 7.257192592E-01 1.562861586E-11 2.438230291E+18 3.371597776E+00 2.256172983E-05 8.726239642E-03 
0T02 13:59:16 295.1 39.289 1.000000000E+00 7.215781585E-01 1.578768233E-11 6.652644454E+17 3.370510755E+00 2.258809605E-05 8.761874450E-03 
0T02 13:59:16 295.1 39.289 1.000000000E+00 7.215781588E-01 1.578768241E-11 7.155978254E+19 3.370510758E+00 2.258809609E-05 8.761874450E-03 
0T02 13:59:16 295.1 39.289 1.000000000E+00 7.215781970E-01 1.578768288E-11 3.642498572E+18 3.370510756E+00 2.258809605E-05 8.761874451E-03 
0T03 14:04:54 295 39.302 1.000000000E+00 7.256830072E-01 1.563890110E-11 5.382355757E+15 3.369460107E+00 2.259566783E-05 9.225414869E-03 
0T03 14:04:54 295 39.302 1.000000000E+00 7.256830320E-01 1.563890160E-11 3.216791956E+19 3.369460110E+00 2.259566791E-05 9.225414869E-03 
0T03 14:04:54 295 39.302 1.000000000E+00 7.256830162E-01 1.563890124E-11 7.485317144E+19 3.369460108E+00 2.259566785E-05 9.225414869E-03 
