X Y Yfit
9.700E-3 6.543E-6 6.284E-6 5.550E+2 5.550E+2
1.970E-2 1.325E-5 1.300E-5 5.550E+2 5.550E+2
2.970E-2 2.020E-5 1.999E-5 5.550E+2 5.550E+2
3.980E-2 2.736E-5 2.736E-5 5.550E+2 5.550E+2
4.890E-2 3.417E-5 3.430E-5 5.550E+2 5.550E+2
5.980E-2 4.261E-5 4.302E-5 5.550E+2 5.550E+2
6.980E-2 5.082E-5 5.146E-5 5.550E+2 5.550E+2
7.970E-2 5.960E-5 6.029E-5 5.550E+2 5.550E+2
8.970E-2 6.874E-5 6.973E-5 5.550E+2 5.550E+2
9.970E-2 7.879E-5 7.977E-5 5.550E+2 5.550E+2
1.088E-1 8.864E-5 8.947E-5 5.550E+2 5.550E+2
1.189E-1 1.005E-4 1.010E-4 5.550E+2 5.550E+2
1.289E-1 1.129E-4 1.132E-4 5.550E+2 5.550E+2
1.388E-1 1.266E-4 1.261E-4 5.550E+2 5.550E+2
1.488E-1 1.412E-4 1.403E-4 5.550E+2 5.550E+2
1.589E-1 1.570E-4 1.557E-4 5.550E+2 5.550E+2
1.689E-1 1.743E-4 1.723E-4 5.550E+2 5.550E+2
1.788E-1 1.930E-4 1.901E-4 5.550E+2 5.550E+2
1.887E-1 2.131E-4 2.094E-4 5.550E+2 5.550E+2
1.987E-1 2.352E-4 2.307E-4 5.550E+2 5.550E+2
2.188E-1 2.841E-4 2.799E-4 5.550E+2 5.550E+2
2.288E-1 3.120E-4 3.079E-4 5.550E+2 5.550E+2
2.386E-1 3.418E-4 3.381E-4 5.550E+2 5.550E+2
2.488E-1 3.756E-4 3.727E-4 5.550E+2 5.550E+2
2.584E-1 4.103E-4 4.086E-4 5.550E+2 5.550E+2
2.683E-1 4.494E-4 4.494E-4 5.550E+2 5.550E+2
2.785E-1 4.947E-4 4.959E-4 5.550E+2 5.550E+2
2.886E-1 5.439E-4 5.471E-4 5.550E+2 5.550E+2
2.987E-1 5.992E-4 6.041E-4 5.550E+2 5.550E+2
3.088E-1 6.605E-4 6.676E-4 5.550E+2 5.550E+2
3.188E-1 7.308E-4 7.379E-4 5.550E+2 5.550E+2
3.289E-1 8.082E-4 8.176E-4 5.550E+2 5.550E+2
3.390E-1 8.977E-4 9.074E-4 5.550E+2 5.550E+2
3.490E-1 9.992E-4 1.008E-3 5.550E+2 5.550E+2
3.589E-1 1.119E-3 1.122E-3 5.550E+2 5.550E+2
3.691E-1 1.253E-3 1.256E-3 5.550E+2 5.550E+2
3.792E-1 1.410E-3 1.410E-3 5.550E+2 5.550E+2
3.890E-1 1.594E-3 1.585E-3 5.550E+2 5.550E+2
3.990E-1 1.813E-3 1.795E-3 5.550E+2 5.550E+2
4.089E-1 2.071E-3 2.043E-3 5.550E+2 5.550E+2
4.188E-1 2.371E-3 2.342E-3 5.550E+2 5.550E+2
4.286E-1 2.743E-3 2.701E-3 5.550E+2 5.550E+2
4.389E-1 3.204E-3 3.162E-3 5.550E+2 5.550E+2
4.485E-1 3.727E-3 3.689E-3 5.550E+2 5.550E+2
4.580E-1 4.333E-3 4.321E-3 5.550E+2 5.550E+2
4.675E-1 5.080E-3 5.080E-3 5.550E+2 5.550E+2
4.769E-1 5.945E-3 5.972E-3 5.550E+2 5.550E+2
4.866E-1 7.020E-3 7.053E-3 5.550E+2 5.550E+2
4.974E-1 8.373E-3 8.455E-3 5.550E+2 5.550E+2
5.065E-1 9.687E-3 9.802E-3 5.550E+2 5.550E+2
5.174E-1 1.157E-2 1.161E-2 5.550E+2 5.550E+2
5.283E-1 1.361E-2 1.361E-2 5.550E+2 5.550E+2
5.388E-1 1.583E-2 1.571E-2 5.550E+2 5.550E+2
