T(K) J0(mAcm-2)
139 2.86239E-29
232 4.42023E-14
417 1.09196E-3
377 4.22326E-5
428 2.41251E-3
242 3.95623E-13
319 9.54093E-8
252 2.99028E-12
384 7.81791E-5
207 7.51020E-17
293 2.93858E-9
194 1.44915E-18
342 1.35468E-6
295 3.92203E-9
359 7.80253E-6
135 2.21487E-30
253 3.62952E-12
439 5.13238E-3
159 1.54348E-24
446 8.14612E-3
486 8.95500E-2
157 5.86932E-25
275 1.82253E-10
158 9.54657E-25
140 5.30665E-29
231 3.51448E-14
130 7.27141E-32
378 4.61778E-5
328 2.81161E-7
188 1.95805E-19
386 9.28540E-5
185 6.86340E-20
106 6.69817E-41
360 8.60638E-6
262 1.94563E-11
193 1.04688E-18
124 8.43089E-34
200 9.53787E-18
380 5.51339E-5
137 8.10984E-30
164 1.56439E-23
464 2.51461E-2
420 1.36080E-3
286 1.03756E-9
261 1.62347E-11
385 8.52194E-5
337 7.83799E-7
388 1.10097E-4
425 1.95101E-3
397 2.32195E-4
119 1.46576E-35
423 1.69081E-3
282 5.59671E-10
116 1.09265E-36
143 3.21355E-28
379 5.04688E-5
346 2.07585E-6
215 6.76357E-16
175 1.61746E-21
216 8.80335E-16
371 2.44761E-5
348 2.56061E-6
424 1.81655E-3
226 1.08417E-14
145 1.02509E-27
370 2.23123E-5
358 7.07006E-6
394 1.81717E-4
477 5.39793E-2
431 2.97480E-3
127 8.24605E-33
163 9.95440E-24
309 2.67464E-8
352 3.86951E-6
277 2.52534E-10
274 1.54562E-10
482 7.16666E-2
322 1.37673E-7
299 6.90882E-9
467 3.01010E-2
120 3.38514E-35
153 7.87917E-26
366 1.53338E-5
315 5.79043E-8
183 3.34900E-20
354 4.74085E-6
492 1.24280E-1
201 1.29183E-17
212 3.02311E-16
418 1.17548E-3
440 5.48721E-3
234 6.95235E-14
102 8.18434E-43
343 1.50857E-6
416 1.01403E-3
412 7.51531E-4
236 1.08537E-13
307 2.05421E-8
136 4.25811E-30
410 6.45638E-4
304 1.37402E-8
129 3.55878E-32
131 1.46986E-31
465 2.67063E-2
458 1.74320E-2
491 1.17735E-1
488 9.99720E-2
306 1.79802E-8
132 2.94019E-31
281 4.78367E-10
398 2.51767E-4
329 3.15924E-7
254 4.39891E-12
238 1.68216E-13
475 4.81178E-2
151 2.77611E-26
478 5.71531E-2
376 3.86070E-5
474 4.54146E-2
447 8.69213E-3
335 6.26969E-7
272 1.10773E-10
112 2.77004E-38
276 2.14657E-10
126 3.90193E-33
449 9.88824E-3
228 1.74589E-14
260 1.35282E-11
314 5.10105E-8
100 7.94090E-44
110 3.99569E-39
403 3.75173E-4
414 8.73570E-4
138 1.53046E-29
310 3.04818E-8
487 9.46277E-2
108 5.37021E-40
303 1.19959E-8
167 5.88187E-23
326 2.22231E-7
197 3.77018E-18
284 7.63632E-10
333 5.00230E-7
210 1.74542E-16
494 1.38396E-1
173 7.26475E-22
178 5.19900E-21
323 1.55347E-7
280 4.08431E-10
453 1.27555E-2
500 1.90181E-1
427 2.24838E-3
256 6.43337E-12
430 2.77500E-3
213 3.96363E-16
162 6.29955E-24
320 1.07894E-7
109 1.47821E-39
301 9.11983E-9
473 4.28534E-2
441 5.86487E-3
270 7.90117E-11
456 1.53967E-2
269 6.66084E-11
392 1.54015E-4
229 2.20880E-14
221 3.17596E-15
321 1.21922E-7
122 1.73379E-34
219 1.91406E-15
302 1.04641E-8
382 6.57104E-5
290 1.89212E-9
146 1.80953E-27
336 7.01236E-7
115 4.46420E-37
404 4.05870E-4
190 3.86851E-19
292 2.53997E-9
148 5.51254E-27
144 5.76223E-28
485 8.47266E-2
223 5.22341E-15
433 3.41548E-3
107 1.91488E-40
266 3.96100E-11
375 3.52764E-5
211 2.30000E-16
103 2.54082E-42
259 1.12576E-11
422 1.57327E-3
240 2.58867E-13
499 1.80458E-1
405 4.38917E-4
181 1.60902E-20
308 2.34495E-8
125 1.82472E-33
381 6.02035E-5
296 4.52465E-9
264 2.78333E-11
199 7.02111E-18
170 2.11251E-22
459 1.85414E-2
154 1.31423E-25
294 3.39649E-9
161 3.96448E-24
195 1.99947E-18
182 2.32591E-20
