X Y Yfit
-8.0000000E-4 -1.8970000E-4 -1.9012379E-4
8.8000000E-3 -1.8930000E-4 -1.8965986E-4
1.9300000E-2 -1.8870000E-4 -1.8909763E-4
2.9100000E-2 -1.8810000E-4 -1.8851253E-4
3.8800000E-2 -1.8750000E-4 -1.8786649E-4
4.8700000E-2 -1.8680000E-4 -1.8712819E-4
5.9700000E-2 -1.8580000E-4 -1.8619830E-4
6.9600000E-2 -1.8480000E-4 -1.8524645E-4
7.9500000E-2 -1.8360000E-4 -1.8416736E-4
8.9600000E-2 -1.8200000E-4 -1.8291462E-4
9.9200000E-2 -1.8040000E-4 -1.8155895E-4
1.0930000E-1 -1.7850000E-4 -1.7993099E-4
1.1870000E-1 -1.7640000E-4 -1.7820092E-4
1.2880000E-1 -1.7390000E-4 -1.7607416E-4
1.3850000E-1 -1.7120000E-4 -1.7372921E-4
1.4990000E-1 -1.6750000E-4 -1.7053054E-4
1.5920000E-1 -1.6410000E-4 -1.6750780E-4
1.6930000E-1 -1.6000000E-4 -1.6373386E-4
1.7870000E-1 -1.5560000E-4 -1.5968957E-4
1.8910000E-1 -1.5020000E-4 -1.5451945E-4
1.9900000E-1 -1.4450000E-4 -1.4880712E-4
2.0980000E-1 -1.3720000E-4 -1.4154212E-4
2.1870000E-1 -1.3030000E-4 -1.3460892E-4
2.2860000E-1 -1.2170000E-4 -1.2572199E-4
2.3930000E-1 -1.1090000E-4 -1.1448510E-4
2.5110000E-1 -9.6520000E-5 -9.9741889E-5
2.5920000E-1 -8.5300000E-5 -8.7925621E-5
2.6880000E-1 -6.9920000E-5 -7.1799564E-5
2.7880000E-1 -5.1310000E-5 -5.2108557E-5
2.8880000E-1 -2.9100000E-5 -2.8864861E-5
2.9940000E-1 -1.0650000E-6 5.1176378E-7
3.0920000E-1 3.0690000E-5 3.3014983E-5
3.1900000E-1 6.7590000E-5 7.1900995E-5
3.2900000E-1 1.1410000E-4 1.1982438E-4
3.4140000E-1 1.8660000E-4 1.9426044E-4
3.5080000E-1 2.5550000E-4 2.6519706E-4
3.6120000E-1 3.5150000E-4 3.6311358E-4
3.7030000E-1 4.5840000E-4 4.7074977E-4
3.7980000E-1 5.9890000E-4 6.1210969E-4
3.8890000E-1 7.7350000E-4 7.8421875E-4
3.9910000E-1 1.0250000E-3 1.0346269E-3
4.1100000E-1 1.4300000E-3 1.4336824E-3
4.2080000E-1 1.8840000E-3 1.8835878E-3
4.3140000E-1 2.5460000E-3 2.5436915E-3
4.4110000E-1 3.3730000E-3 3.3639787E-3
4.5050000E-1 4.4350000E-3 4.4248089E-3
4.5960000E-1 5.7720000E-3 5.7785164E-3
4.6860000E-1 7.5000000E-3 7.5212846E-3
4.7870000E-1 1.0050000E-2 1.0076854E-2
4.9080000E-1 1.4110000E-2 1.4171394E-2
5.0150000E-1 1.8810000E-2 1.8908727E-2
5.1070000E-1 2.3860000E-2 2.3923850E-2
