T(K) Nd(cm-3) Mu(cm2/Vs)
405 3.72332E+14 7.56216E+2
221 4.99942E+14 2.54830E+3
382 4.27563E+17 3.93798E+2
453 3.36258E+14 6.14864E+2
203 7.73902E+15 2.55050E+3
433 2.61395E+14 6.68114E+2
333 1.43094E+13 1.10597E+3
217 7.08243E+18 3.39851E+2
329 1.34406E+17 6.31521E+2
282 1.09240E+13 1.54573E+3
332 1.20142E+16 1.00015E+3
476 2.84847E+18 2.28845E+2
379 1.81178E+13 8.60534E+2
203 1.20746E+13 3.09665E+3
399 2.53280E+15 7.64733E+2
331 3.50677E+18 2.77329E+2
226 1.92385E+17 7.63292E+2
208 6.00873E+15 2.53111E+3
250 4.57427E+13 1.98863E+3
334 2.45942E+18 2.89708E+2
383 3.83293E+17 4.05196E+2
319 2.35613E+16 9.88743E+2
224 2.72243E+17 6.73142E+2
420 2.06657E+14 7.04903E+2
341 4.07951E+16 8.12870E+2
348 6.20986E+17 3.78614E+2
500 1.81662E+13 5.16685E+2
480 1.14132E+15 5.50735E+2
317 9.53617E+18 2.58725E+2
216 5.14085E+14 2.67075E+3
410 7.60656E+18 2.24952E+2
276 3.24500E+15 1.53385E+3
382 8.32489E+16 6.05379E+2
215 9.12204E+13 2.72881E+3
247 8.11690E+17 4.43180E+2
206 6.89484E+18 3.54303E+2
296 1.29652E+15 1.37784E+3
320 2.18523E+13 1.20076E+3
462 6.80426E+17 3.04771E+2
204 9.06601E+16 1.14109E+3
324 7.78702E+16 7.51067E+2
336 6.15868E+16 7.63766E+2
363 2.60047E+15 9.11427E+2
395 2.54377E+13 7.94736E+2
358 6.73944E+13 9.56680E+2
298 8.75122E+13 1.38001E+3
497 2.91208E+13 5.21881E+2
480 3.78514E+16 4.91271E+2
321 4.91708E+14 1.18507E+3
209 1.11379E+14 2.89914E+3
335 9.48600E+16 6.84833E+2
280 2.19620E+15 1.51538E+3
371 5.95009E+17 3.67363E+2
322 1.86889E+14 1.18281E+3
248 4.55942E+14 2.00242E+3
209 1.05207E+15 2.83414E+3
303 4.02478E+16 9.68404E+2
465 2.39017E+16 5.36561E+2
271 6.57366E+17 4.39259E+2
200 5.85628E+13 3.19130E+3
234 1.06127E+15 2.23882E+3
216 5.94626E+13 2.69770E+3
472 4.30861E+18 2.18475E+2
376 1.93975E+15 8.56495E+2
491 4.50885E+15 5.22789E+2
216 8.64210E+14 2.64786E+3
204 6.39776E+17 5.48195E+2
455 9.24593E+17 2.87724E+2
388 5.13585E+17 3.70707E+2
423 1.63909E+13 6.98710E+2
456 3.68899E+13 6.09179E+2
310 2.22968E+16 1.04563E+3
398 1.69240E+18 2.77206E+2
418 1.01038E+17 5.19759E+2
299 1.20791E+18 3.54470E+2
463 1.01482E+15 5.88290E+2
220 4.31221E+16 1.42552E+3
250 1.99792E+14 1.98288E+3
321 1.64827E+17 6.06716E+2
432 5.97304E+18 2.22608E+2
238 5.09464E+16 1.22775E+3
323 4.17828E+15 1.12025E+3
461 4.81505E+17 3.30552E+2
315 2.34846E+17 5.48412E+2
373 8.06566E+13 8.84589E+2
332 2.03444E+13 1.10957E+3
333 3.58170E+13 1.10848E+3
219 2.33817E+18 3.88637E+2
231 1.21392E+16 1.87511E+3
238 1.60689E+13 2.20551E+3
242 1.46550E+16 1.68084E+3
235 3.78512E+14 2.25462E+3
246 3.65357E+13 2.06517E+3
287 5.10314E+18 2.90518E+2
203 2.40694E+15 2.88935E+3
354 5.93150E+17 3.79613E+2
209 3.92879E+18 3.73720E+2
379 1.53159E+15 8.46743E+2
242 1.72556E+16 1.62387E+3
330 6.44677E+14 1.11630E+3
303 1.55580E+18 3.33141E+2
270 6.12001E+14 1.67278E+3
500 9.15205E+18 1.97220E+2
385 1.28989E+14 8.34492E+2
422 2.17311E+14 7.00657E+2
329 4.12110E+17 4.43426E+2
222 2.35321E+14 2.54770E+3
353 3.40989E+14 9.79496E+2
484 3.63998E+13 5.47097E+2
430 1.89035E+15 6.69092E+2
451 4.37110E+18 2.24237E+2
281 4.00073E+16 1.07413E+3
246 7.99205E+13 2.06281E+3
293 6.42699E+18 2.80697E+2
204 2.77261E+15 2.83478E+3
356 1.34448E+16 8.77093E+2
402 1.73639E+13 7.66372E+2
367 9.48240E+14 9.06771E+2
251 2.97859E+15 1.86034E+3
490 1.56184E+16 5.04974E+2
487 9.91325E+14 5.37808E+2
255 9.06556E+18 2.98146E+2
382 2.21214E+17 4.73712E+2
443 3.26716E+15 6.27769E+2
459 1.67809E+13 6.01728E+2
388 2.40412E+13 8.21907E+2
370 7.09727E+13 8.99306E+2
491 1.51481E+15 5.28462E+2
290 1.15670E+17 7.50486E+2
335 5.78496E+13 1.09362E+3
427 4.15059E+13 6.86542E+2
234 5.87611E+13 2.28118E+3
243 3.68609E+18 3.37430E+2
364 1.99566E+14 9.27859E+2
255 1.31865E+18 3.86453E+2
355 6.79572E+14 9.69230E+2
343 8.21057E+17 3.55552E+2
242 1.12905E+18 4.14314E+2
291 1.18835E+14 1.45338E+3
414 5.75333E+16 5.81118E+2
242 9.83077E+15 1.78850E+3
384 3.08390E+13 8.37739E+2
341 1.63458E+17 5.75941E+2
496 1.04425E+15 5.19765E+2
383 2.24185E+16 7.39160E+2
236 2.59702E+17 6.58155E+2
415 2.65439E+17 4.18580E+2
393 5.82607E+16 6.23536E+2
246 3.41435E+18 3.37518E+2
214 1.86702E+16 1.93015E+3
452 1.87150E+17 4.17793E+2
235 6.82675E+13 2.27341E+3
304 6.13885E+14 1.31593E+3
278 6.52071E+15 1.45813E+3
438 7.85790E+13 6.55595E+2
462 1.26266E+16 5.62357E+2
455 1.40244E+14 6.10710E+2
251 1.45459E+13 1.96897E+3
315 1.86951E+14 1.23046E+3
246 1.66808E+13 2.06512E+3
362 7.64223E+15 8.80655E+2
389 1.67778E+17 5.01912E+2
296 7.33812E+17 4.02008E+2
347 5.56653E+14 1.01421E+3
482 2.20911E+16 5.08738E+2
381 3.15316E+15 8.27813E+2
358 4.42849E+14 9.54286E+2
221 3.99193E+18 3.57598E+2
483 1.43761E+13 5.48638E+2
408 1.77510E+13 7.46806E+2
438 3.04020E+16 5.78918E+2
468 9.19004E+15 5.56874E+2
465 6.51524E+18 2.11527E+2
334 1.14129E+13 1.10147E+3
421 8.20339E+13 7.05426E+2
423 3.08377E+14 6.96096E+2
466 4.19974E+17 3.38461E+2
346 5.58521E+18 2.56201E+2
221 1.95814E+14 2.55895E+3
494 8.54357E+13 5.26612E+2
368 1.11529E+16 8.38712E+2
340 4.84477E+15 1.01424E+3
260 2.00513E+17 6.74868E+2
241 1.34432E+18 4.00153E+2
492 2.55311E+18 2.28023E+2
