# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3]
10000000 10000
1 0 200001 33762.8 33489.7 33611.1
2 50 200000 10511.7 10388.3 10424.1
3 100 199999 2904.24 2763.43 2676.41
4 150 199998 -1046.59 -1208.03 -1140.24
5 200 199997 2358.23 1906.48 2052.33
6 250 199996 4134.43 3695.38 3842.36
7 300 199995 4430.53 3982.9 4128.04
8 350 199994 4687.83 4300.9 4312.66
9 400 199993 4414.46 4147.3 4009.36
10 450 199992 2561.03 2390.63 2474.7
11 500 199991 2617.31 2347.96 2357.99
12 550 199990 2596.41 2288.51 2487.62
13 600 199989 2464.75 2332.19 2350.24
14 650 199988 2640.81 2562.53 2625.67
15 700 199987 2716.95 2475.56 2501.22
16 750 199986 2958.06 2683.52 2862.61
17 800 199985 3161.54 2928.53 2947.76
18 850 199984 3305.73 3067.73 3141.63
19 900 199983 1984.37 1726.45 1846.67
20 950 199982 692.442 597.905 702.183
21 1000 199981 669.359 655.699 774.217
22 1050 199980 1738.97 1700.98 1709.5
23 1100 199979 2905.22 2852.63 2912.91
24 1150 199978 3146.35 2987.79 2949.86
25 1200 199977 2738.38 2394.15 2537.48
26 1250 199976 1509.68 1052.74 1026.99
27 1300 199975 -54.9436 -462.566 -355.728
28 1350 199974 -30.049 -376.441 -357.299
29 1400 199973 507.704 237.872 376.284
30 1450 199972 734.04 501.696 455.682
31 1500 199971 1275.44 1018.71 1257.72
32 1550 199970 1594.65 1445.54 1557.51
33 1600 199969 2094.33 1951.91 2171.52
34 1650 199968 2273 1909.24 2189.48
35 1700 199967 1529.58 1432.63 1347.15
36 1750 199966 819.022 758.581 531.486
37 1800 199965 -326.774 -494.628 -362.099
38 1850 199964 -152.944 -368.255 -258.787
39 1900 199963 483.096 345.516 329.703
40 1950 199962 1180.24 1126.4 1127.57
41 2000 199961 1648.09 1351.78 1630.26
42 2050 199960 937.612 700.15 857.698
43 2100 199959 24.3891 -191.043 -79.0023
44 2150 199958 -425.779 -614.788 -563.665
45 2200 199957 259.307 146.012 89.4747
46 2250 199956 1099.56 869.201 876.363
47 2300 199955 1124.04 816.326 921.555
48 2350 199954 1057.44 606.064 703.398
49 2400 199953 971.08 356.911 517.983
50 2450 199952 752.728 285.394 280.513
51 2500 199951 615.178 231.8 227.137
52 2550 199950 433.768 -78.7049 104.397
53 2600 199949 338.315 199.644 234.576
54 2650 199948 124.82 81.6118 246.553
55 2700 199947 475.562 398.316 437.477
56 2750 199946 918.27 796.222 795.581
57 2800 199945 1123.45 812.02 790.415
58 2850 199944 860.356 494.339 657.411
59 2900 199943 364.553 -86.3674 122.204
60 2950 199942 -146.302 -368.05 -385.645
61 3000 199941 149.183 92.0678 -166.087
62 3050 199940 551.858 551.223 490.388
63 3100 199939 824.232 758.294 892.269
64 3150 199938 736.292 380.511 765.363
65 3200 199937 380.425 115.082 319.419
66 3250 199936 -35.621 -472.698 -218.868
67 3300 199935 -100.22 -580.758 -421.495
68 3350 199934 -216.907 -381.478 -410.687
69 3400 199933 -396.974 -464.133 -514.808
70 3450 199932 -148.108 -116.605 -281.674
71 3500 199931 -30.3939 -39.7605 -145.225
72 3550 199930 474.301 456.575 316.056
73 3600 199929 1071.52 996.013 933.539
74 3650 199928 1307.05 1095.66 1126.52
75 3700 199927 1094.51 1113.76 1239.63
76 3750 199926 561.349 721.554 749.157
77 3800 199925 115.741 292.692 171.681
78 3850 199924 14.7459 31.56 -152.332
79 3900 199923 -85.126 -343.961 -292.814
80 3950 199922 -125.718 -348.999 -306.493
81 4000 199921 161.966 -163.547 75.6052
82 4050 199920 508.87 117.832 340.698
83 4100 199919 524.579 208.643 371.626
84 4150 199918 167.496 22.4623 -104.453
85 4200 199917 -62.777 3.62556 -172.107
86 4250 199916 -194.252 -101.247 -93.9253
87 4300 199915 -422.04 -467.905 -323.303
88 4350 199914 -440.329 -546.678 -347.244
89 4400 199913 -230.788 -415.232 -293.265
90 4450 199912 379.377 40.3036 199.962
91 4500 199911 710.082 516.023 543.801
92 4550 199910 544.397 471.693 587.957
93 4600 199909 363.759 516.765 450.179
94 4650 199908 242.294 420.068 294.143
95 4700 199907 395.103 564.307 483.713
96 4750 199906 1030.56 987.28 956.283
97 4800 199905 1285.08 1058.01 1097.3
98 4850 199904 1330.35 956.439 1048.44
99 4900 199903 574.709 323.455 330.861
100 4950 199902 -496.499 -799.568 -704.017
101 5000 199901 -1147.4 -1622.8 -1363.46
102 5050 199900 -1315.97 -1589.46 -1498.08
103 5100 199899 -737.934 -911.036 -842.422
104 5150 199898 64.2121 -139.059 -122.929
105 5200 199897 762.163 554.106 683.923
106 5250 199896 1115.13 932.439 1046.77
107 5300 199895 1318.32 1351.81 1345.93
108 5350 199894 1092.52 1102.49 1015.24
109 5400 199893 126.703 279.934 332.551
110 5450 199892 -416.783 -251.639 -136.771
111 5500 199891 -684.427 -583.066 -657.788
112 5550 199890 -319.554 -499.075 -535.438
113 5600 199889 280.664 -40.6513 122.017
114 5650 199888 676.924 471.647 794.118
115 5700 199887 749.558 611.334 876.225
116 5750 199886 184.974 331.236 320.929
117 5800 199885 -355.092 -169.417 -240.954
118 5850 199884 -182.973 -166.099 -343.596
119 5900 199883 -11.6862 -155.86 -216.746
120 5950 199882 -11.5927 -56.9578 -115.956
121 6000 199881 153.411 -62.2158 16.8666
122 6050 199880 232.252 93.731 201.812
123 6100 199879 348.468 165.579 294.873
124 6150 199878 341.249 270.199 237.505
125 6200 199877 -233.292 -134.654 -247.851
126 6250 199876 -598.917 -423.331 -511.637
127 6300 199875 -323.181 -124.11 -62.2427
128 6350 199874 358.925 494.395 596.049
129 6400 199873 1299.83 1177.15 1246.21
130 6450 199872 1616.59 1696.11 1567.41
131 6500 199871 979.203 1197.8 1026.22
132 6550 199870 -245.283 14.9419 -169.088
133 6600 199869 -1012.83 -976.213 -1149.18
134 6650 199868 -1181.73 -1320.06 -1312.58
135 6700 199867 -917.845 -1063.98 -847.622
136 6750 199866 -408.409 -425.316 -122.132
137 6800 199865 67.5082 133.123 344.551
138 6850 199864 695.775 850.351 806.721
139 6900 199863 1017.74 1183.36 905.303
140 6950 199862 599.415 565.196 340.562
141 7000 199861 -284.402 -393.017 -418.889
142 7050 199860 -920.214 -847.698 -935.422
143 7100 199859 -933.646 -756.358 -704.736
144 7150 199858 -145.289 40.4238 46.0272
145 7200 199857 640.394 687.605 695.06
146 7250 199856 851.706 883.477 615.519
147 7300 199855 682.885 781.388 345.699
148 7350 199854 136.058 246.549 49.6013
149 7400 199853 -356.043 -36.8376 -237.129
150 7450 199852 -385.131 31.5809 -38.8347
151 7500 199851 -294.626 3.82378 -14.9134
152 7550 199850 260.022 307.758 295.811
153 7600 199849 612.171 655.783 426.575
154 7650 199848 608.827 580.155 479.225
155 7700 199847 305.557 452.401 270.213
156 7750 199846 -208.156 11.4805 7.80995
157 7800 199845 -619.415 -474.977 -499.903
158 7850 199844 -951.937 -888.438 -893.841
159 7900 199843 -790.843 -696.128 -696.019
160 7950 199842 -653.37 -423.544 -282.203
161 8000 199841 -310.956 41.8957 26.2912
162 8050 199840 560.127 656.329 542.397
163 8100 199839 658.992 595.32 554.327
164 8150 199838 240.219 54.716 26.037
165 8200 199837 -454.339 -542.145 -672.761
166 8250 199836 -769.341 -518.302 -847.607
167 8300 199835 -441.637 -12.3506 -145.528
168 8350 199834 177.5 771.841 725.059
169 8400 199833 1191.89 1486.61 1421.1
170 8450 199832 1352.7 1402.55 1210.45
171 8500 199831 767.671 902.988 638.509
172 8550 199830 107.363 83.3258 -93.0278
173 8600 199829 -621.893 -685.792 -794.323
174 8650 199828 -998.197 -1075.56 -1178.29
175 8700 199827 -965.442 -940.393 -984.111
176 8750 199826 -308.162 -327.264 -332.172
177 8800 199825 300.378 429.587 242.176
178 8850 199824 564.644 665.728 367.572
179 8900 199823 475.377 503.437 315.523
180 8950 199822 351.998 313.986 226.379
181 9000 199821 -242.045 -207.615 -271.306
182 9050 199820 -801.13 -679.109 -626.528
183 9100 199819 -613.321 -556.018 -474.057
184 9150 199818 -30.6341 199.764 92.2474
185 9200 199817 845.159 867.759 654.219
186 9250 199816 1246.42 1005.03 918.097
187 9300 199815 790.283 496.849 519.921
188 9350 199814 222.024 207.064 38.3658
189 9400 199813 -314.073 -115.087 -257.559
190 9450 199812 -386.547 -178.271 -333.229
191 9500 199811 -338.472 -76.2166 -146.212
192 9550 199810 217.951 249.55 171.463
193 9600 199809 663.59 381.416 416.644
194 9650 199808 412.488 75.5896 52.5429
195 9700 199807 -341.029 -733.449 -843.112
196 9750 199806 -885.991 -1170.36 -1341.37
197 9800 199805 -742.045 -1116.63 -1226.45
198 9850 199804 -328.789 -329.69 -486.683
199 9900 199803 400.995 541.481 472.055
200 9950 199802 1063.6 1389.68 1175.87
201 10000 199801 1539.68 1684.92 1310.8
202 10050 199800 1344.88 1328.82 1152.57
203 10100 199799 725.669 675.928 529.129
204 10150 199798 -207.369 -183.633 -261.192
205 10200 199797 -656.469 -533.044 -652.244
206 10250 199796 -796.441 -633.991 -732.892
207 10300 199795 -391.411 -483.753 -613.607
208 10350 199794 -134.791 -374.17 -299.395
209 10400 199793 -96.8094 -167.134 -138.822
210 10450 199792 48.4677 -74.8969 -161.94
211 10500 199791 28.0111 39.5412 -88.6808
212 10550 199790 86.183 33.7928 -72.9056
213 10600 199789 228.713 82.0857 79.2939
214 10650 199788 78.9492 13.7149 -161.128
215 10700 199787 -214.722 26.2685 -386.92
216 10750 199786 -67.8183 57.856 -182.784
217 10800 199785 85.5231 -2.15096 -67.0013
218 10850 199784 217.889 -77.4315 44.3488
219 10900 199783 139.422 -191.435 -38.8995
220 10950 199782 142.995 -5.10625 -77.4185
221 11000 199781 431.591 419.447 172.158
222 11050 199780 479.805 797.706 508.785
223 11100 199779 440.836 862.123 673.907
224 11150 199778 249.827 771.932 548.941
225 11200 199777 319.059 392.375 336.419
226 11250 199776 249.818 -45.2351 47.2459
227 11300 199775 -91.1149 -581.65 -577.174
228 11350 199774 -560.196 -783.717 -933.622
229 11400 199773 -835.577 -840.227 -1005.55
230 11450 199772 -613.699 -522.869 -354.957
231 11500 199771 -338.747 -104.736 -72.8617
232 11550 199770 -65.3126 166.067 39.4353
233 11600 199769 208.125 400.973 80.9295
234 11650 199768 504.644 313.52 241.873
235 11700 199767 660.662 364.093 289.169
236 11750 199766 357.843 109.839 166.216
237 11800 199765 -153.124 -5.41083 -152.505
238 11850 199764 -429.387 -173.756 -316.416
239 11900 199763 -583.291 -136.478 -432.069
240 11950 199762 -463.44 -256.603 -421.512
241 12000 199761 -234.788 -352.768 -149.568
242 12050 199760 88.4868 -72.5077 127.043
243 12100 199759 337.787 143.423 296.442
244 12150 199758 678.657 774.814 609.458
245 12200 199757 834.698 1116.61 687.176
246 12250 199756 550.773 951.442 613.644
247 12300 199755 56.9178 326.914 129.694
248 12350 199754 -247.54 -307.38 -166.082
249 12400 199753 -476.237 -787.685 -502.151
250 12450 199752 -568.18 -834.014 -707.698
251 12500 199751 -157.909 -324.515 -372.749
252 12550 199750 20.806 176.291 -130.428
253 12600 199749 14.7701 254.919 184.57
254 12650 199748 -355.119 -32.9841 55.9919
255 12700 199747 -668.004 -322.035 -219.63
256 12750 199746 -242.672 -63.7133 -148.873
257 12800 199745 50.2426 19.4397 26.8288
258 12850 199744 367.904 236.43 162.523
259 12900 199743 829.653 585.336 527.99
260 12950 199742 566.685 645.897 517.326
261 13000 199741 216.911 445.022 221.186
262 13050 199740 89.2252 260.233 114.745
263 13100 199739 -114.855 122.854 99.4537
264 13150 199738 -333.82 -113.809 -150.585
265 13200 199737 -583.952 -486.734 -401.919
266 13250 199736 -196.388 -274.892 -186.711
267 13300 199735 408.14 146.386 102.904
268 13350 199734 516.044 261.295 14.7164
