T(K) J0(mAcm-2)
490 1.11512E-1
444 7.14891E-3
402 3.46668E-4
128 1.72272E-32
368 1.85149E-5
227 1.37721E-14
330 3.54744E-7
469 3.38944E-2
203 2.34918E-17
291 2.19332E-9
448 9.27218E-3
271 9.36104E-11
263 2.32862E-11
470 3.59539E-2
349 2.84145E-6
455 1.44643E-2
496 1.53988E-1
356 5.79571E-6
305 1.57245E-8
390 1.30324E-4
316 6.56789E-8
331 3.98066E-7
312 3.94948E-8
460 1.97163E-2
438 4.79911E-3
454 1.35849E-2
147 3.17011E-27
340 1.09041E-6
327 2.50052E-7
325 1.97368E-7
283 6.54092E-10
347 2.30619E-6
372 2.68370E-5
351 3.49297E-6
298 6.00520E-9
479 6.04999E-2
419 1.26496E-3
257 7.76340E-12
288 1.40396E-9
113 7.11092E-38
279 3.48338E-10
267 4.71619E-11
155 2.17797E-25
472 4.04272E-2
466 2.83563E-2
165 2.44537E-23
436 4.19240E-3
389 1.19809E-4
255 5.32360E-12
408 5.53880E-4
