X Y Yfit
1.9500000E+2 3.4510390E-2 1.7873609E-2
2.0000000E+2 3.5278577E-2 1.7645713E-2
2.0500000E+2 3.4559052E-2 1.7420028E-2
2.1000000E+2 3.2123793E-2 1.7196472E-2
2.1500000E+2 2.8268733E-2 1.6974971E-2
2.2000000E+2 2.6305313E-2 1.6755452E-2
2.2500000E+2 2.6235581E-2 1.6537849E-2
2.3000000E+2 2.5544072E-2 1.6322098E-2
2.3500000E+2 2.5664640E-2 1.6108139E-2
2.4000000E+2 2.5020759E-2 1.5895916E-2
2.4500000E+2 2.4362708E-2 1.5685373E-2
2.5000000E+2 2.3554305E-2 1.5476461E-2
2.5500000E+2 2.1100284E-2 1.5269129E-2
2.6000000E+2 1.9768138E-2 1.5063333E-2
2.6500000E+2 1.8679647E-2 1.4859028E-2
2.7000000E+2 1.6562535E-2 1.4656172E-2
2.7500000E+2 1.5085194E-2 1.4454725E-2
2.8000000E+2 1.3759938E-2 1.4254648E-2
2.8500000E+2 1.2880643E-2 1.4055906E-2
2.9000000E+2 1.2771506E-2 1.3858463E-2
2.9500000E+2 1.1943291E-2 1.3662285E-2
3.0000000E+2 1.0975658E-2 1.3467341E-2
3.0500000E+2 1.0367900E-2 1.3273600E-2
3.1000000E+2 9.9674742E-3 1.3081032E-2
3.1500000E+2 9.8384448E-3 1.2889610E-2
3.2000000E+2 9.7625596E-3 1.2699305E-2
3.2500000E+2 9.8880820E-3 1.2510093E-2
3.3000000E+2 1.0187903E-2 1.2321947E-2
