T Isc Isc_fit DiffLength
2.918E+2 1.8367040E+0 1.8343809E+0 9.4421864E-5
2.945E+2 1.8394700E+0 1.8418535E+0 9.4857697E-5
2.977E+2 1.8532150E+0 1.8505627E+0 9.5371660E-5
3.010E+2 1.8607300E+0 1.8593790E+0 9.5898800E-5
3.052E+2 1.8744970E+0 1.8703619E+0 9.6565544E-5
3.091E+2 1.8734220E+0 1.8803259E+0 9.7180567E-5
3.116E+2 1.8858270E+0 1.8865965E+0 9.7572774E-5
3.147E+2 1.8965720E+0 1.8942476E+0 9.8056931E-5
3.181E+2 1.9051480E+0 1.9024831E+0 9.8585209E-5
3.215E+2 1.9068650E+0 1.9105580E+0 9.9110670E-5
3.249E+2 1.9135420E+0 1.9184753E+0 9.9633361E-5
3.287E+2 1.9232750E+0 1.9271409E+0 1.0021432E-4
3.313E+2 1.9290120E+0 1.9329605E+0 1.0060988E-4
3.346E+2 1.9452010E+0 1.9402211E+0 1.0110972E-4
3.390E+2 1.9481480E+0 1.9496870E+0 1.0177234E-4
3.422E+2 1.9642930E+0 1.9564199E+0 1.0225156E-4
