T(K) Nd(cm-3) Mu(cm2/Vs)
494 1.73379E+13 5.27775E+2
397 5.75453E+18 2.34859E+2
469 1.64038E+18 2.52166E+2
269 1.99676E+18 3.44801E+2
389 3.56481E+18 2.50798E+2
340 4.83192E+18 2.62864E+2
438 5.28561E+14 6.51575E+2
373 9.27493E+18 2.34403E+2
322 1.02298E+18 3.50435E+2
387 1.94194E+15 8.11947E+2
276 1.73370E+14 1.61673E+3
271 3.28627E+14 1.66661E+3
403 1.81189E+13 7.63125E+2
438 2.56387E+13 6.53450E+2
402 1.14500E+16 7.15211E+2
485 8.40205E+18 2.02058E+2
272 8.94620E+14 1.64199E+3
415 7.26968E+18 2.23990E+2
303 5.02173E+17 4.41540E+2
360 2.93347E+17 4.59844E+2
212 1.05652E+16 2.22263E+3
477 1.50896E+18 2.53132E+2
360 2.30392E+18 2.79686E+2
431 1.41140E+17 4.67808E+2
260 2.14565E+16 1.39279E+3
283 5.28942E+18 2.92606E+2
482 5.65068E+13 5.51446E+2
230 3.18313E+13 2.37346E+3
299 4.72211E+14 1.36339E+3
295 1.50473E+17 6.74539E+2
326 1.97855E+18 3.04590E+2
236 5.78300E+17 5.02993E+2
261 1.54294E+16 1.47291E+3
331 2.53855E+16 9.20903E+2
215 5.27194E+18 3.53199E+2
472 2.61201E+18 2.33019E+2
407 1.31144E+13 7.51111E+2
452 4.88468E+18 2.21047E+2
343 1.03024E+15 1.02952E+3
244 1.37026E+15 2.02381E+3
214 9.06206E+16 1.09424E+3
302 2.22754E+13 1.34223E+3
384 5.52652E+16 6.51410E+2
226 1.18021E+17 9.32233E+2
347 9.38744E+15 9.42177E+2
486 5.26042E+18 2.10230E+2
383 6.02523E+18 2.39100E+2
282 3.38353E+17 5.26220E+2
229 1.24418E+14 2.39439E+3
293 3.41208E+16 1.04958E+3
253 2.36193E+16 1.41693E+3
241 1.05529E+17 9.22983E+2
203 1.55003E+13 3.09802E+3
467 4.28382E+18 2.20015E+2
255 4.03104E+17 5.31884E+2
308 5.02897E+16 8.95214E+2
491 5.06406E+16 4.62706E+2
213 1.26521E+14 2.79046E+3
379 1.68606E+17 5.13889E+2
227 1.39687E+18 4.15867E+2
240 4.80761E+18 3.30117E+2
456 5.67145E+18 2.16792E+2
414 7.28565E+15 6.94767E+2
475 3.51250E+17 3.46964E+2
269 1.44790E+14 1.70445E+3
437 9.64638E+16 4.95658E+2
415 3.92158E+18 2.38558E+2
414 1.79719E+18 2.67675E+2
206 8.75170E+18 3.46068E+2
259 1.04388E+18 4.02861E+2
362 8.21412E+18 2.41019E+2
279 5.13014E+13 1.57805E+3
220 5.42938E+14 2.57425E+3
367 3.31774E+16 7.53452E+2
215 1.16402E+16 2.13956E+3
409 5.46188E+18 2.31978E+2
444 4.72712E+17 3.42181E+2
385 3.83125E+13 8.34047E+2
359 5.50001E+17 3.83975E+2
425 1.67580E+17 4.57701E+2
497 1.65641E+18 2.42800E+2
283 1.23005E+14 1.52829E+3
345 1.46227E+16 9.19493E+2
450 1.48733E+18 2.63389E+2
293 2.61331E+14 1.42066E+3
301 2.84463E+18 3.02728E+2
426 3.62058E+15 6.73046E+2
474 1.32727E+16 5.37146E+2
353 3.57363E+18 2.65761E+2
204 5.39558E+14 3.02329E+3
485 9.20571E+14 5.42344E+2
262 9.06062E+17 4.13026E+2
399 1.46762E+13 7.78482E+2
290 1.29291E+13 1.46346E+3
255 2.84408E+18 3.38339E+2
405 1.18105E+16 7.04818E+2
452 2.80011E+18 2.36879E+2
239 5.95302E+14 2.16142E+3
237 5.17823E+18 3.30049E+2
317 8.55708E+15 1.11723E+3
217 1.00828E+13 2.70005E+3
304 1.36914E+17 6.78592E+2
310 1.00052E+14 1.27441E+3
371 9.86112E+15 8.33921E+2
367 1.01965E+14 9.12085E+2
348 2.86863E+13 1.01499E+3
232 2.94620E+16 1.51587E+3
385 1.01624E+18 3.13918E+2
318 5.22148E+16 8.50805E+2
323 6.81937E+16 7.81354E+2
239 7.71326E+15 1.89949E+3
450 4.90435E+13 6.23579E+2
296 2.32012E+15 1.35473E+3
396 3.61088E+18 2.47761E+2
234 5.13923E+18 3.33406E+2
495 6.07603E+13 5.24833E+2
200 2.70984E+15 2.94127E+3
412 7.21360E+18 2.25303E+2
274 3.50603E+18 3.12743E+2
408 2.95620E+17 4.13074E+2
361 1.96519E+13 9.43975E+2
210 1.03140E+16 2.28512E+3
248 9.40634E+17 4.25549E+2
389 1.52406E+18 2.86812E+2
288 1.70492E+15 1.44224E+3
473 6.90199E+13 5.68737E+2
245 5.86184E+17 4.87072E+2
352 5.93943E+15 9.38183E+2
217 6.89725E+17 5.10101E+2
233 3.55710E+17 5.92817E+2
426 2.94372E+15 6.76101E+2
476 1.17303E+17 4.30898E+2
343 6.03568E+15 9.85436E+2
307 1.01187E+18 3.62438E+2
378 2.19888E+13 8.62207E+2
487 6.23500E+18 2.06699E+2
457 8.79724E+18 2.08383E+2
386 2.03571E+18 2.73530E+2
372 5.15380E+17 3.80812E+2
394 7.50004E+14 7.91853E+2
269 9.02932E+18 2.88394E+2
265 6.45837E+18 2.99716E+2
308 4.65440E+17 4.47329E+2
269 1.28851E+16 1.43731E+3
423 1.18830E+13 6.99492E+2
416 2.89391E+14 7.19201E+2
252 1.39845E+15 1.90114E+3
261 1.68328E+16 1.44604E+3
316 2.92492E+13 1.22515E+3
406 3.60663E+16 6.37788E+2
479 2.43106E+16 5.10861E+2
267 2.00189E+18 3.46371E+2
203 6.94069E+17 5.37051E+2
259 7.02613E+14 1.82227E+3
394 5.81739E+14 7.93332E+2
434 3.68830E+13 6.66548E+2
393 3.02492E+13 8.02053E+2
257 1.05633E+18 4.03565E+2
257 1.00464E+13 1.87194E+3
415 3.81672E+14 7.21242E+2
247 4.22919E+14 2.02002E+3
394 3.87998E+16 6.62835E+2
300 5.52551E+18 2.80467E+2
363 6.09090E+16 6.89800E+2
265 1.78669E+13 1.75659E+3
363 1.22340E+18 3.12714E+2
232 3.25651E+13 2.32074E+3
370 2.62724E+14 8.95806E+2
367 1.61603E+17 5.36839E+2
398 5.30095E+16 6.23850E+2
349 1.13323E+15 9.94627E+2
451 6.84987E+16 5.03100E+2
368 5.51691E+13 9.08715E+2
247 2.24062E+17 6.72094E+2
325 1.07030E+17 6.85776E+2
468 1.46010E+17 4.22619E+2
246 2.44583E+14 2.03883E+3
203 6.71317E+17 5.41060E+2
205 1.27069E+16 2.26000E+3
306 2.33966E+15 1.27151E+3
209 1.75881E+13 2.92780E+3
266 5.80449E+15 1.58997E+3
293 2.53503E+18 3.13445E+2
280 4.69591E+17 4.75168E+2
244 4.10314E+14 2.08113E+3
456 4.28845E+15 5.94170E+2
223 2.22713E+13 2.53324E+3
300 2.25307E+18 3.14490E+2
374 1.04031E+16 8.17035E+2
467 1.79447E+18 2.48834E+2
238 7.13074E+16 1.08585E+3
467 8.46732E+17 2.88091E+2
401 3.98964E+18 2.43019E+2
468 4.60605E+16 5.01904E+2
453 8.30567E+15 5.90601E+2
424 4.98411E+17 3.49855E+2
338 7.87160E+16 7.12814E+2
342 2.22163E+16 8.92110E+2
213 3.83834E+18 3.69256E+2
440 4.72669E+14 6.47749E+2
348 9.26356E+15 9.35000E+2
375 7.16111E+13 8.77482E+2
249 1.80137E+17 7.25787E+2
345 7.63826E+14 1.01897E+3
465 8.50026E+15 5.63656E+2
385 6.19966E+17 3.54543E+2
425 2.62682E+15 6.79804E+2
211 1.08420E+17 1.02757E+3
413 7.03124E+17 3.27194E+2
294 1.51123E+16 1.20295E+3
276 5.25828E+15 1.50177E+3
363 3.81728E+14 9.28530E+2
419 9.97175E+14 7.03817E+2
349 1.55250E+16 8.93084E+2
244 2.64024E+17 6.37607E+2
454 1.37472E+16 5.76796E+2
322 3.34628E+17 4.80584E+2
380 1.86452E+18 2.80255E+2
310 1.70702E+17 6.18289E+2
264 1.92746E+18 3.50878E+2
268 2.78334E+14 1.70562E+3
204 4.14261E+14 3.03099E+3
210 3.30122E+13 2.88088E+3
459 5.54052E+14 5.99452E+2
310 1.13168E+17 7.06942E+2
278 1.12198E+18 3.77669E+2
354 7.66776E+13 9.78566E+2
280 8.45605E+17 4.02036E+2
391 4.91229E+15 7.79570E+2
487 1.75924E+13 5.40645E+2
436 1.34475E+16 6.17485E+2
288 7.35612E+14 1.46525E+3
428 7.67974E+17 3.12947E+2
384 2.24381E+16 7.36308E+2
236 3.76484E+16 1.37457E+3
243 3.24444E+13 2.11351E+3
484 7.45382E+17 2.88853E+2
265 9.41924E+14 1.72794E+3
217 6.09399E+15 2.31950E+3
232 2.53456E+17 6.72025E+2
443 3.10282E+17 3.79903E+2
398 3.50016E+16 6.59633E+2
419 4.27386E+15 6.91991E+2
242 5.40876E+18 3.23948E+2
366 2.85292E+14 9.15584E+2
488 1.12666E+13 5.39912E+2
337 5.76826E+13 1.08200E+3
269 5.72221E+15 1.56781E+3
352 9.81198E+17 3.34796E+2
284 1.45181E+18 3.52052E+2
406 2.67900E+13 7.55089E+2
379 4.05135E+18 2.50629E+2
486 7.35253E+13 5.42079E+2
444 5.03158E+14 6.36536E+2
269 4.96472E+18 3.03916E+2
414 2.88898E+13 7.27615E+2
284 5.96536E+16 9.49296E+2
322 3.34340E+16 9.18224E+2
447 1.05444E+15 6.25896E+2
227 1.23755E+17 9.10134E+2
330 1.30685E+18 3.27478E+2
219 5.57721E+16 1.30044E+3
492 1.65391E+13 5.30926E+2
483 6.34477E+17 2.99605E+2
406 1.34949E+15 7.44822E+2
266 2.30549E+14 1.73775E+3
246 5.94995E+18 3.16724E+2
383 5.17915E+18 2.42696E+2
423 2.65493E+13 6.99298E+2
452 1.71081E+17 4.26155E+2
287 3.74272E+16 1.06172E+3
445 2.83405E+15 6.23857E+2
231 7.30492E+14 2.30417E+3
301 2.79632E+15 1.30359E+3
366 9.30546E+18 2.37071E+2
426 1.55713E+16 6.37893E+2
441 6.97088E+14 6.43586E+2
288 1.14535E+15 1.45753E+3
348 1.75570E+15 9.95607E+2
480 1.22014E+14 5.54865E+2
323 8.52540E+14 1.15886E+3
499 1.60960E+18 2.43359E+2
334 2.78429E+14 1.09349E+3
473 1.16080E+14 5.69037E+2
314 7.69647E+14 1.23028E+3
438 3.93656E+15 6.40492E+2
289 3.81998E+13 1.47595E+3
431 1.02558E+18 2.91442E+2
405 1.14207E+14 7.57377E+2
273 2.29789E+15 1.58935E+3
351 1.65651E+17 5.57732E+2
337 2.05546E+16 9.19989E+2
433 1.41062E+16 6.24165E+2
233 2.05513E+18 3.78963E+2
347 2.66697E+18 2.79575E+2
468 6.14467E+15 5.63022E+2
461 2.32952E+13 5.96332E+2
238 3.47296E+17 5.88257E+2
293 1.29321E+13 1.42802E+3
481 9.69376E+13 5.53227E+2
355 8.66899E+15 9.09221E+2
384 2.55749E+16 7.25576E+2
392 5.38954E+17 3.62755E+2
236 7.28220E+15 1.94372E+3
349 1.00838E+13 1.01036E+3
463 8.16993E+16 4.73415E+2
224 2.34078E+18 3.81706E+2
273 6.73875E+14 1.63291E+3
211 7.78542E+14 2.78730E+3
332 2.66293E+14 1.10622E+3
431 1.56360E+13 6.73404E+2
418 1.51841E+16 6.58240E+2
300 5.72073E+14 1.35261E+3
227 6.38825E+16 1.19203E+3
296 1.95987E+16 1.14586E+3
447 7.95431E+18 2.12781E+2
313 4.05179E+13 1.25484E+3
411 7.68075E+15 7.02777E+2
214 7.48928E+16 1.18301E+3
386 6.69678E+15 7.89158E+2
230 4.90806E+18 3.38823E+2
479 2.17170E+13 5.56913E+2
359 7.21038E+13 9.54189E+2
456 1.61196E+18 2.57435E+2
456 1.85928E+15 6.02389E+2
398 8.08135E+16 5.78011E+2
341 6.65931E+17 3.76567E+2
361 4.28093E+14 9.37769E+2
244 5.78960E+13 2.09275E+3
292 1.08440E+13 1.44196E+3
464 2.22321E+14 5.88010E+2
326 2.09885E+14 1.15034E+3
429 1.85200E+16 6.23046E+2
474 6.85088E+17 2.98748E+2
369 5.09636E+14 9.00705E+2
267 6.53296E+18 2.97215E+2
240 2.83662E+16 1.45825E+3
218 2.92667E+14 2.63171E+3
475 9.27805E+13 5.66056E+2
418 1.02565E+18 2.97436E+2
219 6.72648E+14 2.58545E+3
378 7.31052E+16 6.29460E+2
215 2.70606E+18 3.84763E+2
389 3.97327E+16 6.71754E+2
421 2.44334E+13 7.05170E+2
248 7.21593E+13 2.02730E+3
267 3.02189E+16 1.23789E+3
280 7.23223E+18 2.85909E+2
218 4.30544E+13 2.65988E+3
365 4.57567E+15 8.89123E+2
369 5.89245E+18 2.45232E+2
228 6.87187E+13 2.42451E+3
293 9.25336E+17 3.81181E+2
462 5.32095E+16 5.02280E+2
240 6.66924E+17 4.76207E+2
204 7.85294E+14 2.99106E+3
228 2.84807E+16 1.56773E+3
358 9.84554E+18 2.39291E+2
291 9.61631E+16 7.96616E+2
355 4.34685E+15 9.34686E+2
381 9.60138E+18 2.30782E+2
493 3.13775E+13 5.28472E+2
322 5.49812E+14 1.17418E+3
384 1.64009E+18 2.85027E+2
268 5.84236E+18 2.99750E+2
311 2.26406E+16 1.03770E+3
425 2.80272E+16 6.10259E+2
375 9.83082E+13 8.75360E+2
327 1.78714E+13 1.14598E+3
478 1.36284E+15 5.53980E+2
473 2.49913E+13 5.69331E+2
369 4.06184E+18 2.54821E+2
482 2.40614E+16 5.06085E+2
258 3.86896E+17 5.35762E+2
303 1.91140E+13 1.33634E+3
474 2.49071E+17 3.74924E+2
300 1.73112E+14 1.35911E+3
215 5.83230E+16 1.30490E+3
296 1.04384E+14 1.40004E+3
323 1.53076E+13 1.17461E+3
441 1.17198E+14 6.45131E+2
375 3.22225E+16 7.31884E+2
249 9.26606E+16 9.43172E+2
280 2.99389E+14 1.56760E+3
302 4.73018E+18 2.83515E+2
420 2.01506E+15 6.96161E+2
439 3.17918E+13 6.52230E+2
479 9.88753E+17 2.74263E+2
255 1.52595E+16 1.53405E+3
434 3.41191E+14 6.64810E+2
386 9.48467E+16 5.80327E+2
419 4.12144E+15 6.92142E+2
375 1.55717E+15 8.64127E+2
384 1.18954E+15 8.27294E+2
404 1.12495E+14 7.60834E+2
294 4.56340E+13 1.41918E+3
472 1.94234E+17 3.96327E+2
