X Y Yfit
1.2000000E-2 5.3320000E-8 6.2410374E-8
2.2000000E-2 1.5292000E-7 1.4239944E-7
3.1000000E-2 2.9477000E-7 2.4696255E-7
4.1000000E-2 4.8893000E-7 4.1615473E-7
5.2000000E-2 7.7364000E-7 6.9816052E-7
6.2000000E-2 1.1771000E-6 1.0856066E-6
7.1000000E-2 1.7545000E-6 1.5922979E-6
8.2000000E-2 2.5986000E-6 2.5136600E-6
9.2000000E-2 3.8370000E-6 3.7796909E-6
1.0200000E-1 5.6380000E-6 5.6584917E-6
1.1200000E-1 8.2591000E-6 8.4467006E-6
1.2200000E-1 1.2107000E-5 1.2584570E-5
1.3200000E-1 1.7804000E-5 1.8725501E-5
1.4200000E-1 2.6202000E-5 2.7839255E-5
1.5200000E-1 3.8497000E-5 4.1365140E-5
1.6200000E-1 5.6281000E-5 6.1439394E-5
1.7200000E-1 8.3417000E-5 9.1232690E-5
1.8200000E-1 1.2563000E-4 1.3545111E-4
1.9300000E-1 1.9095000E-4 2.0918243E-4
2.0200000E-1 2.8844000E-4 2.9848682E-4
2.1300000E-1 4.3417000E-4 4.6091160E-4
2.1700000E-1 6.5729000E-4 5.3979636E-4
2.3400000E-1 9.5980000E-4 1.0563902E-3
2.4200000E-1 1.4000000E-3 1.4489205E-3
2.5200000E-1 2.0070000E-3 2.1506619E-3
2.6000000E-1 2.8070000E-3 2.9498325E-3
2.6700000E-1 3.8191000E-3 3.8893083E-3
2.7700000E-1 5.0547000E-3 5.7731632E-3
2.7900000E-1 6.5572000E-3 6.2477411E-3
2.8400000E-1 8.2886000E-3 7.6119756E-3
2.8900000E-1 1.0239000E-2 9.2741444E-3
2.9300000E-1 1.2358000E-2 1.0861670E-2
2.9900000E-1 1.4607000E-2 1.3766816E-2
3.0400000E-1 1.7065000E-2 1.6773238E-2
3.0600000E-1 1.9642000E-2 1.8152271E-2
3.0900000E-1 2.2348000E-2 2.0436327E-2
