T(K) Nd(cm-3) Mu(cm2/Vs)
355 6.06075E+16 1.91460E+8
476 1.12752E+16 1.52609E+6
249 2.28149E+13 6.13636E+11
276 9.90735E+14 4.46859E+10
218 2.36819E+16 3.08164E+13
398 5.37521E+16 2.41763E+7
407 3.02761E+14 1.66806E+7
428 5.45074E+16 7.35237E+6
429 3.08934E+17 7.22694E+6
205 9.06502E+17 2.27687E+14
313 2.06289E+16 2.54274E+9
360 3.65066E+18 1.45018E+8
354 2.06875E+18 1.98660E+8
414 6.57535E+18 1.27602E+7
339 2.14656E+14 4.75690E+8
485 1.25193E+18 1.17559E+6
499 1.49751E+17 7.73855E+5
472 3.64616E+16 1.69189E+6
344 7.57208E+18 3.57265E+8
225 3.45998E+13 1.14986E+13
256 2.95314E+15 3.18329E+11
390 1.37715E+14 3.51051E+7
354 3.58957E+15 2.00959E+8
413 1.34780E+15 1.31098E+7
470 3.13541E+16 1.82408E+6
444 4.06865E+14 4.23775E+6
368 2.90477E+17 9.81172E+7
450 3.20215E+13 3.45476E+6
331 1.36476E+14 7.82503E+8
452 2.68362E+14 3.23657E+6
476 2.19760E+17 1.51579E+6
439 8.29490E+18 5.07723E+6
275 2.63296E+13 4.87310E+10
413 4.05335E+13 1.32068E+7
401 3.70370E+13 2.14937E+7
486 2.16657E+15 1.11146E+6
412 9.54926E+16 1.36913E+7
419 5.60335E+18 1.04693E+7
258 1.09070E+14 2.42097E+11
474 2.56311E+15 1.62308E+6
466 2.24477E+13 2.06661E+6
432 8.97835E+14 6.35828E+6
431 8.22352E+17 6.59735E+6
292 2.11003E+18 1.22106E+10
338 1.48946E+15 5.16611E+8
235 4.07984E+14 3.32714E+12
269 1.84866E+17 8.74559E+10
251 3.35389E+14 5.26106E+11
387 1.78801E+15 3.97959E+7
444 1.13642E+15 4.18385E+6
400 3.65968E+18 2.24326E+7
457 2.04234E+13 2.73698E+6
231 3.20094E+16 5.50144E+12
399 1.27046E+15 2.36754E+7
268 1.14351E+18 9.04182E+10
354 2.00741E+15 1.99821E+8
261 5.93594E+15 1.78838E+11
413 2.90709E+18 1.34495E+7
484 1.10067E+15 1.20314E+6
241 6.34393E+13 1.60251E+12
483 3.27952E+13 1.21830E+6
297 1.04286E+18 7.89130E+9
394 9.33236E+14 2.93879E+7
250 1.01374E+13 5.88264E+11
269 2.36874E+13 8.23604E+10
454 9.75530E+14 3.00529E+6
474 2.94681E+16 1.58573E+6
400 1.27340E+15 2.22522E+7
235 4.13776E+17 3.25467E+12
434 9.32041E+18 5.87231E+6
238 1.63887E+18 2.28782E+12
217 1.81444E+18 3.41094E+13
231 2.82484E+18 5.33715E+12
369 6.82092E+16 9.32682E+7
361 4.81937E+15 1.38105E+8
320 2.76599E+13 1.50102E+9
356 1.65322E+15 1.81965E+8
465 3.34780E+18 2.11845E+6
332 6.07615E+17 7.33909E+8
281 1.46835E+16 2.91176E+10
487 2.87742E+15 1.10297E+6
373 5.15105E+17 7.62255E+7
312 2.29522E+17 2.63094E+9
248 1.20739E+13 7.41222E+11
428 7.14069E+13 7.54285E+6
223 2.12588E+17 1.47084E+13
325 3.74344E+17 1.11659E+9
342 2.77555E+15 4.03747E+8
379 1.09693E+15 5.78346E+7
328 9.47765E+17 9.08437E+8
355 1.40573E+18 1.97564E+8
220 2.90877E+15 2.36167E+13
223 2.01499E+16 1.43585E+13
457 1.66834E+17 2.76430E+6
468 3.22696E+15 1.92002E+6
307 3.41894E+13 3.74390E+9
333 1.40184E+16 6.83913E+8
474 5.56202E+13 1.59545E+6
357 6.04048E+16 1.77432E+8
498 2.09462E+14 8.13532E+5
291 5.29977E+18 1.26000E+10
255 2.39709E+16 3.47542E+11
393 4.67539E+13 3.09754E+7
224 5.51397E+15 1.35032E+13
339 1.46652E+16 4.85757E+8
359 1.05472E+16 1.53865E+8
309 1.63673E+18 3.36664E+9
496 6.42146E+14 8.50415E+5
433 5.83536E+14 6.17375E+6
483 2.63994E+16 1.23892E+6
293 2.60172E+16 1.08325E+10
408 2.24646E+18 1.59703E+7
