T(K) Nd(cm-3) Mu(cm2/Vs)
231 1.11486E+15 5.12684E+12
472 6.75663E+15 1.69950E+6
305 5.52152E+13 4.41310E+9
415 4.18610E+16 1.19902E+7
288 5.07136E+17 1.63302E+10
311 3.51594E+17 2.92490E+9
308 3.22357E+16 3.50544E+9
378 5.71277E+15 6.16655E+7
274 2.65042E+13 5.62654E+10
273 2.10380E+15 6.05624E+10
224 1.34139E+15 1.38100E+13
473 1.35541E+15 1.65090E+6
212 3.67194E+16 7.47870E+13
346 4.48981E+13 3.13448E+8
202 1.74404E+17 3.85202E+14
481 3.82634E+13 1.28783E+6
236 5.48201E+16 3.05639E+12
424 8.40654E+16 8.65585E+6
310 5.30270E+16 3.12357E+9
434 3.17527E+14 6.01292E+6
360 1.74541E+16 1.48089E+8
365 2.92095E+17 1.15265E+8
244 3.64526E+18 1.14510E+12
233 6.48644E+17 4.10725E+12
277 2.36595E+15 4.13579E+10
222 2.78551E+18 1.73148E+13
254 4.01532E+17 3.61085E+11
342 6.51956E+16 3.94347E+8
367 4.27258E+17 1.03965E+8
342 4.59702E+13 4.00974E+8
293 1.56660E+15 1.07453E+10
241 8.12145E+17 1.61867E+12
328 5.87455E+18 9.05563E+8
429 1.61388E+14 7.16138E+6
378 4.76267E+13 6.03619E+7
353 1.57612E+17 2.18494E+8
229 5.60898E+15 7.17073E+12
283 9.90375E+13 2.41600E+10
377 5.91076E+18 6.39549E+7
239 8.87574E+17 2.08111E+12
372 3.54693E+17 8.15926E+7
403 1.50036E+14 2.01008E+7
410 6.70369E+13 1.48769E+7
262 8.91297E+16 1.71069E+11
284 7.28002E+15 2.21704E+10
357 2.62653E+16 1.73093E+8
372 8.94306E+13 7.99815E+7
418 5.40358E+13 1.07643E+7
422 4.49981E+17 9.15732E+6
329 1.19186E+15 8.79109E+8
371 1.04793E+14 8.33897E+7
239 4.61916E+18 2.02407E+12
296 4.06574E+13 8.81390E+9
424 1.63412E+18 8.54097E+6
288 3.53575E+16 1.57972E+10
359 8.42266E+17 1.52370E+8
210 2.82554E+14 9.78094E+13
452 3.33409E+13 3.21189E+6
255 2.80494E+13 3.58310E+11
358 2.26038E+15 1.66607E+8
330 1.33861E+17 7.96087E+8
471 1.28450E+17 1.76038E+6
247 4.52814E+17 7.74156E+11
362 1.48359E+13 1.32089E+8
360 7.52002E+14 1.46227E+8
307 1.39685E+13 3.81009E+9
306 4.35416E+18 4.07473E+9
427 3.77372E+15 7.71124E+6
442 1.49442E+15 4.52735E+6
438 2.58905E+18 5.11510E+6
465 5.90734E+17 2.11241E+6
377 1.66917E+13 6.19663E+7
275 3.52163E+17 5.13625E+10
350 5.12986E+13 2.55353E+8
407 3.88943E+17 1.70443E+7
423 3.63197E+14 9.08613E+6
351 1.82153E+17 2.37607E+8
355 1.36482E+18 1.90458E+8
333 8.35187E+18 6.98363E+8
438 1.15788E+16 5.09113E+6
214 7.78784E+16 5.83982E+13
289 1.77370E+18 1.46488E+10
353 7.74961E+13 2.10992E+8
318 2.12341E+13 1.74277E+9
328 5.82688E+15 9.31001E+8
468 1.28614E+16 1.91638E+6
498 6.14154E+16 8.13343E+5
492 1.08860E+17 9.43908E+5
