T(K) Nd(cm-3) Mu(cm2/Vs)
402 2.41657E+18 2.03518E+7
419 6.12782E+16 1.03967E+7
419 2.05020E+13 1.03943E+7
288 3.69234E+15 1.66590E+10
463 3.00207E+17 2.24821E+6
294 6.73148E+18 9.97336E+9
263 8.24645E+16 1.53114E+11
461 4.13186E+18 2.42755E+6
311 2.13143E+13 2.93387E+9
367 8.72679E+18 1.01816E+8
434 2.98703E+14 6.05630E+6
332 8.46593E+13 7.10232E+8
465 1.78111E+18 2.14255E+6
412 8.21005E+17 1.39385E+7
397 2.19633E+17 2.60373E+7
345 1.40228E+16 3.34514E+8
489 7.49832E+16 1.04735E+6
349 1.70261E+18 2.72045E+8
359 9.15733E+16 1.52833E+8
333 9.93263E+13 6.69402E+8
385 3.50965E+15 4.38681E+7
296 8.52521E+16 8.30799E+9
387 2.86251E+16 3.89470E+7
219 6.77758E+15 2.72941E+13
282 1.22228E+17 2.79430E+10
262 7.04596E+16 1.60398E+11
214 3.80305E+17 5.48321E+13
351 3.60271E+17 2.44170E+8
214 8.96616E+16 5.16957E+13
379 1.68352E+14 5.66625E+7
343 1.12113E+17 3.73107E+8
287 8.65621E+18 1.75907E+10
302 5.48744E+14 5.49750E+9
485 5.07908E+16 1.16138E+6
247 1.79602E+18 8.40717E+11
223 1.85518E+16 1.48404E+13
414 1.21804E+17 1.26079E+7
246 4.86432E+13 8.83434E+11
255 2.16966E+16 3.28332E+11
261 2.67558E+13 1.78039E+11
236 8.70209E+13 3.04437E+12
426 1.17144E+13 8.01601E+6
243 4.45161E+16 1.20178E+12
225 1.99624E+15 1.17408E+13
321 1.59905E+18 1.41732E+9
495 2.29809E+18 8.81105E+5
207 3.85181E+14 1.69363E+14
317 3.81527E+15 1.90875E+9
248 5.68827E+18 7.39331E+11
385 1.49770E+18 4.32951E+7
334 6.19731E+14 6.19556E+8
221 8.92990E+14 2.01794E+13
456 6.88838E+14 2.81817E+6
391 1.21510E+18 3.38522E+7
276 5.54521E+17 4.48987E+10
248 4.19945E+15 7.26983E+11
290 6.86231E+17 1.41121E+10
408 7.31449E+18 1.61987E+7
300 5.07051E+15 6.52687E+9
324 1.88314E+16 1.19034E+9
327 2.60513E+14 9.86143E+8
323 1.27122E+13 1.24759E+9
446 1.14902E+16 3.94666E+6
425 2.20963E+13 8.42725E+6
305 1.10690E+17 4.45207E+9
342 1.57723E+18 3.92195E+8
375 1.05192E+14 6.97653E+7
351 5.10241E+14 2.44033E+8
439 7.68920E+15 5.07991E+6
363 5.06723E+13 1.26312E+8
207 5.14991E+16 1.49694E+14
349 5.37238E+17 2.66194E+8
435 1.18005E+18 5.86050E+6
494 1.22763E+17 8.91282E+5
259 4.15091E+16 2.30797E+11
477 4.90728E+17 1.44940E+6
396 2.20617E+18 2.62890E+7
316 6.80689E+15 1.98610E+9
268 2.67906E+16 9.61121E+10
211 3.84020E+16 8.10564E+13
325 1.18256E+15 1.10598E+9
