T(K) Nd(cm-3) Mu(cm2/Vs)
414 1.05480E+14 6.63674E+2
236 5.02952E+17 4.96242E+2
213 2.46973E+18 2.82949E+2
344 1.02643E+13 9.91025E+2
276 7.45216E+17 3.64140E+2
454 1.64817E+13 5.46165E+2
334 4.72400E+18 1.62302E+2
383 1.00123E+17 5.51713E+2
318 1.77008E+14 1.17766E+3
330 3.79188E+16 8.60621E+2
267 4.47043E+13 1.73587E+3
453 1.66732E+13 5.49278E+2
442 5.63442E+17 2.71630E+2
294 4.17830E+18 1.84075E+2
298 4.74654E+13 1.35546E+3
381 1.82536E+14 7.92004E+2
458 2.52729E+17 3.35883E+2
249 2.87715E+16 1.49171E+3
203 7.91425E+15 2.73885E+3
462 1.63761E+18 1.79507E+2
469 5.35203E+15 4.96008E+2
342 3.47272E+18 1.74099E+2
209 3.32965E+16 1.90019E+3
322 2.65897E+15 1.11648E+3
462 1.63633E+17 3.69983E+2
481 1.18093E+14 4.83785E+2
250 2.87583E+14 1.99394E+3
434 3.96876E+13 6.00410E+2
280 1.36930E+14 1.55416E+3
388 6.58710E+14 7.58138E+2
222 2.19746E+18 2.84340E+2
270 1.95798E+15 1.64270E+3
300 5.93727E+17 3.76521E+2
207 1.90494E+13 3.09343E+3
319 8.41049E+14 1.15982E+3
301 5.93209E+13 1.32772E+3
395 9.63236E+14 7.30221E+2
442 1.74226E+13 5.77209E+2
278 7.05464E+18 1.67814E+2
338 1.83409E+13 1.03237E+3
493 1.45878E+18 1.77052E+2
355 5.00063E+18 1.53202E+2
208 6.11624E+17 5.06481E+2
218 3.53050E+13 2.73405E+3
335 3.81851E+16 8.38136E+2
490 1.45321E+17 3.46568E+2
313 9.21674E+16 7.62305E+2
437 9.22456E+18 1.15200E+2
217 1.20920E+15 2.68582E+3
358 2.12624E+17 4.85451E+2
413 1.13536E+15 6.61398E+2
321 5.88326E+17 3.58005E+2
334 1.48045E+16 9.49194E+2
250 1.34928E+15 1.97286E+3
