T(K) Nd(cm-3) Mu(cm2/Vs)
364 1.75456E+18 1.17855E+8
291 6.28554E+13 1.24840E+10
296 8.21790E+18 8.74018E+9
456 5.29299E+15 2.77201E+6
441 1.26166E+13 4.64502E+6
232 4.57350E+15 4.75310E+12
396 9.54686E+18 2.69037E+7
442 4.12965E+16 4.44044E+6
472 1.68769E+16 1.71441E+6
454 2.65141E+14 3.00809E+6
257 1.33255E+13 2.77158E+11
232 4.64479E+15 4.59073E+12
228 9.30989E+16 7.41101E+12
426 1.50106E+14 8.01473E+6
207 4.91165E+18 1.56687E+14
303 5.58660E+16 5.06125E+9
219 1.23291E+14 2.72314E+13
340 1.73846E+18 4.41149E+8
401 3.90117E+13 2.16454E+7
443 5.23964E+13 4.33394E+6
267 8.35849E+17 9.94229E+10
449 6.05345E+16 3.59882E+6
423 4.34530E+16 8.85834E+6
335 5.49041E+18 6.03746E+8
291 7.49526E+13 1.30702E+10
343 6.36046E+16 3.81996E+8
487 1.79433E+15 1.10652E+6
382 8.57731E+18 5.03285E+7
266 2.18304E+13 1.09772E+11
277 3.19028E+18 4.05285E+10
321 3.56316E+16 1.41783E+9
379 2.79082E+17 5.82085E+7
296 8.96493E+17 8.80032E+9
338 1.04266E+16 5.12681E+8
261 6.20360E+17 1.91677E+11
226 7.37254E+14 1.00557E+13
460 1.75712E+17 2.45138E+6
451 3.39428E+16 3.31708E+6
319 1.64819E+16 1.68007E+9
288 1.08727E+15 1.57696E+10
472 4.53821E+13 1.70559E+6
341 5.80004E+17 4.18586E+8
263 1.78853E+16 1.50467E+11
495 1.62728E+13 8.71003E+5
317 8.62750E+14 1.91237E+9
327 6.89830E+15 9.92958E+8
380 1.24624E+16 5.50439E+7
287 4.22264E+14 1.73594E+10
393 8.02518E+17 3.01391E+7
265 3.29811E+13 1.25224E+11
234 4.66408E+15 3.67390E+12
305 2.57101E+17 4.23373E+9
243 4.03030E+13 1.31637E+12
236 6.54493E+16 2.93234E+12
222 8.96227E+15 1.73867E+13
424 7.87049E+13 8.56054E+6
375 6.62064E+13 6.80243E+7
274 9.68649E+13 5.62251E+10
220 4.92037E+15 2.44576E+13
428 1.94817E+16 7.54601E+6
290 9.28251E+14 1.43870E+10
339 7.71679E+14 4.60878E+8
422 3.01991E+17 9.34106E+6
330 5.29021E+16 7.98155E+8
483 2.32190E+13 1.22913E+6
240 5.25129E+18 1.89009E+12
478 1.63294E+13 1.40199E+6
342 4.80802E+13 3.97497E+8
361 7.65355E+17 1.41864E+8
386 1.38245E+18 4.21935E+7
222 8.38683E+14 1.87955E+13
475 6.34223E+14 1.56679E+6
435 9.07607E+17 5.83555E+6
400 5.60151E+15 2.21512E+7
488 9.72057E+16 1.06859E+6
395 1.12182E+16 2.73084E+7
417 9.69183E+14 1.11179E+7
365 8.91173E+16 1.11387E+8
435 5.08434E+15 5.79698E+6
421 1.86172E+17 9.67885E+6
410 1.25792E+15 1.47732E+7
215 1.57628E+17 5.09821E+13
350 1.82984E+14 2.54125E+8
357 1.29467E+14 1.68969E+8
384 2.01491E+13 4.47831E+7
269 3.99857E+13 8.65385E+10
354 1.13147E+13 2.05036E+8
383 2.15006E+14 4.70937E+7
356 1.00622E+17 1.78533E+8
218 8.32165E+16 3.22018E+13
398 2.50386E+15 2.46135E+7
376 2.93893E+18 6.61606E+7
357 7.72426E+18 1.73712E+8
441 8.31986E+15 4.60716E+6
355 4.16193E+18 1.95876E+8
383 7.74774E+18 4.80934E+7
493 1.63145E+15 9.14545E+5
279 1.31100E+14 3.44776E+10
203 3.14777E+14 3.28035E+14
435 1.67259E+17 5.85977E+6
207 2.71732E+15 1.69025E+14
440 7.76863E+18 4.84324E+6
304 1.28647E+17 4.67489E+9
304 1.43804E+18 4.72817E+9
321 1.71336E+13 1.45593E+9
258 9.24678E+18 2.58968E+11
278 1.06546E+16 3.71254E+10
407 4.11147E+17 1.64810E+7
388 8.15684E+14 3.79995E+7
289 1.92951E+16 1.44043E+10
366 8.08900E+16 1.09762E+8
251 1.99194E+15 5.46007E+11
325 1.42904E+17 1.14756E+9
358 1.74245E+16 1.60735E+8
489 2.78227E+13 1.02844E+6
417 4.28657E+15 1.12865E+7
344 1.53073E+18 3.49315E+8
239 1.95161E+18 1.98441E+12
306 5.02876E+16 4.05640E+9
302 1.10431E+17 5.46210E+9
382 1.87794E+14 4.98429E+7
288 8.78030E+18 1.57584E+10
256 6.62225E+15 3.11143E+11
289 4.47385E+13 1.50397E+10
214 4.37172E+17 5.53827E+13
218 1.34047E+15 2.98772E+13
301 1.27205E+14 5.91668E+9
270 2.05107E+15 7.94509E+10
269 5.26326E+17 8.35492E+10
213 8.37612E+13 5.99308E+13
261 2.95127E+14 1.84098E+11
209 1.11822E+14 1.10284E+14
437 6.48115E+17 5.33918E+6
493 4.78877E+18 9.30424E+5
242 1.92387E+14 1.46658E+12
353 7.03170E+16 2.08668E+8
467 1.22533E+15 1.99454E+6
214 3.19431E+15 5.59734E+13
256 3.70935E+15 3.00586E+11
481 6.84415E+18 1.31999E+6
462 1.00519E+14 2.35395E+6
222 1.32005E+14 1.82514E+13
242 3.84899E+14 1.50205E+12
297 6.80472E+18 7.90674E+9
266 1.11981E+13 1.11148E+11
341 1.29341E+17 4.15918E+8
468 6.12340E+18 1.94177E+6
377 1.89058E+17 6.24102E+7
449 8.18994E+18 3.56020E+6
213 3.40221E+13 6.28188E+13
241 1.43099E+13 1.50381E+12
345 3.32711E+14 3.26710E+8
376 9.71359E+15 6.64219E+7
374 7.83350E+14 7.27091E+7
303 8.06210E+13 5.05039E+9
303 3.30174E+15 5.00372E+9
281 1.84955E+17 2.90802E+10
280 3.42175E+13 3.11306E+10
217 3.71870E+17 3.49054E+13
400 7.26157E+16 2.24957E+7
428 4.17253E+16 7.47419E+6
475 2.23603E+13 1.57128E+6
357 2.82654E+13 1.70679E+8
347 1.63688E+18 2.97102E+8
366 2.70652E+16 1.06179E+8
498 8.14099E+18 8.00366E+5
384 2.86875E+17 4.48114E+7
376 1.30093E+16 6.71266E+7
383 4.21333E+16 4.68204E+7
345 8.94038E+18 3.36680E+8
219 2.04286E+13 2.76419E+13
339 1.39808E+16 4.75386E+8
346 1.12100E+13 3.14950E+8
360 1.70130E+18 1.48149E+8
206 1.32849E+17 1.89447E+14
257 3.08787E+15 2.80837E+11
440 1.82165E+17 4.85213E+6
483 5.91906E+15 1.24136E+6
476 2.30387E+13 1.50392E+6
206 7.11629E+15 1.79090E+14
200 4.52292E+13 4.98526E+14
332 2.99501E+13 7.07578E+8
398 1.49947E+14 2.48699E+7
453 5.80119E+18 3.06881E+6
337 9.93814E+15 5.43951E+8
438 1.28659E+13 5.16102E+6
224 1.26533E+14 1.34746E+13
331 1.79480E+15 7.87622E+8
454 2.03289E+13 3.04159E+6
413 4.63963E+13 1.33227E+7
435 1.41813E+14 5.86313E+6
357 8.04385E+17 1.71859E+8
461 1.37570E+15 2.36154E+6
370 1.28765E+15 8.89895E+7
269 1.83657E+13 8.31732E+10
403 1.89019E+15 1.96574E+7
284 1.63092E+16 2.34501E+10
485 3.03457E+16 1.14884E+6
257 1.37948E+15 2.72751E+11
498 5.05236E+16 8.02406E+5
257 2.79565E+18 2.87923E+11
202 2.48209E+14 3.87281E+14
338 2.80302E+14 5.06634E+8
382 2.99415E+13 5.00178E+7
424 2.21106E+14 8.52120E+6
377 7.78767E+13 6.37254E+7
478 2.55088E+16 1.42659E+6
201 2.44885E+18 4.23835E+14
225 5.85494E+15 1.12838E+13
277 4.84841E+15 4.02727E+10
480 5.53428E+17 1.33446E+6
247 4.63158E+15 7.91810E+11
374 1.19489E+14 7.19147E+7
213 5.95246E+15 6.13569E+13
487 1.05227E+15 1.09097E+6
341 1.82634E+13 4.24544E+8
338 4.53913E+15 5.11726E+8
219 2.67826E+17 2.71651E+13
378 2.26746E+16 6.02512E+7
358 3.45254E+17 1.64986E+8
402 6.37990E+14 2.05854E+7
476 3.54284E+13 1.50965E+6
460 3.04262E+14 2.51398E+6
400 2.06263E+14 2.26758E+7
237 1.00959E+18 2.44169E+12
481 2.61152E+17 1.28693E+6
450 1.70031E+17 3.37523E+6
308 1.96169E+16 3.45280E+9
253 3.69602E+17 4.27044E+11
258 6.23551E+15 2.49833E+11
360 2.18783E+15 1.45836E+8
323 7.22634E+14 1.25794E+9
