X Y Yfit
0.0000000E+0 1.0066654E+0 1.0066991E+0
1.0000000E+0 1.0068299E+0 1.0067873E+0
2.0000000E+0 1.0067439E+0 1.0067468E+0
3.0000000E+0 1.0066749E+0 1.0067101E+0
4.0000000E+0 1.0068127E+0 1.0067804E+0
5.0000000E+0 1.0067606E+0 1.0067700E+0
6.0000000E+0 1.0067635E+0 1.0067602E+0
7.0000000E+0 1.0067470E+0 1.0067585E+0
8.0000000E+0 1.0067981E+0 1.0067862E+0
9.0000000E+0 1.0067793E+0 1.0067880E+0
1.0000000E+1 1.0068120E+0 1.0068027E+0
1.1000000E+1 1.0067904E+0 1.0067916E+0
1.2000000E+1 1.0067758E+0 1.0067741E+0
1.3000000E+1 1.0067516E+0 1.0067581E+0
1.4000000E+1 1.0067660E+0 1.0067627E+0
1.5000000E+1 1.0067606E+0 1.0067482E+0
1.6000000E+1 1.0066826E+0 1.0067038E+0
1.7000000E+1 1.0067297E+0 1.0067297E+0
1.8000000E+1 1.0067768E+0 1.0067621E+0
1.9000000E+1 1.0067375E+0 1.0067558E+0
2.0000000E+1 1.0068057E+0 1.0067744E+0
2.1000000E+1 1.0066899E+0 1.0067217E+0
2.2000000E+1 1.0067612E+0 1.0067458E+0
2.3000000E+1 1.0067418E+0 1.0067448E+0
2.4000000E+1 1.0067401E+0 1.0067346E+0
2.5000000E+1 1.0067061E+0 1.0067072E+0
2.6000000E+1 1.0066785E+0 1.0067025E+0
2.7000000E+1 1.0067918E+0 1.0067556E+0
2.8000000E+1 1.0066925E+0 1.0067202E+0
2.9000000E+1 1.0067559E+0 1.0067402E+0
3.0000000E+1 1.0067267E+0 1.0067224E+0
3.1000000E+1 1.0066723E+0 1.0067003E+0
3.2000000E+1 1.0067828E+0 1.0067463E+0
3.3000000E+1 1.0066787E+0 1.0067040E+0
3.4000000E+1 1.0067235E+0 1.0067226E+0
3.5000000E+1 1.0067632E+0 1.0067565E+0
3.6000000E+1 1.0067637E+0 1.0067618E+0
3.7000000E+1 1.0067534E+0 1.0067549E+0
3.8000000E+1 1.0067518E+0 1.0067544E+0
3.9000000E+1 1.0067654E+0 1.0067542E+0
4.0000000E+1 1.0067131E+0 1.0067287E+0
4.1000000E+1 1.0067522E+0 1.0067413E+0
4.2000000E+1 1.0067274E+0 1.0067347E+0
4.3000000E+1 1.0067455E+0 1.0067378E+0
4.4000000E+1 1.0067184E+0 1.0067301E+0
4.5000000E+1 1.0067603E+0 1.0067602E+0
4.6000000E+1 1.0068017E+0 1.0067861E+0
4.7000000E+1 1.0067511E+0 1.0067493E+0
4.8000000E+1 1.0066899E+0 1.0067030E+0
