X Y Yfit
5.1000000E-2 1.2620000E-7 2.0391230E-7
1.0100000E-1 1.8200000E-7 2.2963446E-7
1.5100000E-1 2.2610000E-7 2.5355295E-7
2.0100000E-1 2.6610000E-7 2.7841410E-7
3.0100000E-1 3.4810000E-7 3.3234877E-7
4.0100000E-1 4.2860000E-7 3.9232826E-7
5.0100000E-1 5.1910000E-7 4.5866499E-7
6.0200000E-1 6.1470000E-7 5.3242248E-7
7.0200000E-1 7.1730000E-7 6.1243979E-7
8.0200000E-1 8.2500000E-7 6.9970873E-7
9.0200000E-1 9.4170000E-7 7.9452276E-7
1.0020000E+0 1.0650000E-6 8.9717329E-7
1.1030000E+0 1.1970000E-6 1.0090994E-6
1.2030000E+0 1.3360000E-6 1.1283740E-6
1.3030000E+0 1.4820000E-6 1.2563488E-6
1.4030000E+0 1.6350000E-6 1.3933061E-6
1.5030000E+0 1.7940000E-6 1.5395253E-6
1.6030000E+0 1.9650000E-6 1.6952836E-6
1.7030000E+0 2.1360000E-6 1.8608552E-6
1.8040000E+0 2.3210000E-6 2.0383204E-6
1.9040000E+0 2.5080000E-6 2.2244359E-6
2.0040000E+0 2.7080000E-6 2.4211740E-6
2.1040000E+0 2.9130000E-6 2.6287980E-6
2.2040000E+0 3.1250000E-6 2.8475681E-6
2.3040000E+0 3.3390000E-6 3.0777417E-6
2.4040000E+0 3.5650000E-6 3.3195734E-6
2.5040000E+0 3.7960000E-6 3.5733146E-6
2.6050000E+0 4.0360000E-6 3.8419351E-6
2.7050000E+0 4.2830000E-6 4.1203635E-6
2.8050000E+0 4.5300000E-6 4.4114406E-6
2.9050000E+0 4.7970000E-6 4.7154062E-6
3.0050000E+0 5.0640000E-6 5.0324968E-6
3.1060000E+0 5.3510000E-6 5.3663189E-6
3.2060000E+0 5.6380000E-6 5.7104946E-6
3.3060000E+0 5.9350000E-6 6.0684897E-6
3.4060000E+0 6.2510000E-6 6.4405289E-6
3.5060000E+0 6.5780000E-6 6.8268340E-6
3.6060000E+0 6.9040000E-6 7.2276237E-6
3.7070000E+0 7.2400000E-6 7.6473439E-6
3.8070000E+0 7.5870000E-6 8.0778979E-6
3.9070000E+0 7.9520000E-6 8.5235776E-6
4.0070000E+0 8.2690000E-6 8.9845902E-6
4.1070000E+0 8.6250000E-6 9.4611400E-6
4.2080000E+0 8.9610000E-6 9.9584313E-6
4.3080000E+0 9.3370000E-6 1.0466817E-5
4.4080000E+0 9.7030000E-6 1.0991338E-5
4.5080000E+0 1.0090000E-5 1.1532187E-5
