T(K) Nd(cm-3) Mu(cm2/Vs)
338 2.09058E+18 5.11624E+8
468 8.39648E+13 1.92477E+6
287 1.40059E+18 1.75678E+10
498 2.24514E+17 8.11148E+5
438 8.33251E+18 5.09826E+6
344 3.09739E+15 3.63587E+8
450 2.74674E+16 3.39684E+6
367 2.01993E+16 1.02884E+8
286 6.68523E+18 1.92203E+10
371 6.18222E+15 8.30910E+7
392 9.97334E+15 3.15440E+7
273 7.15085E+13 5.73088E+10
324 5.98799E+15 1.21529E+9
336 1.41547E+16 5.64168E+8
460 1.41063E+17 2.47023E+6
393 1.49859E+13 3.04289E+7
434 5.63160E+14 6.03283E+6
273 2.40369E+13 5.72327E+10
266 1.17461E+16 1.11548E+11
410 4.02498E+16 1.48775E+7
381 2.63364E+18 5.15492E+7
488 3.91152E+13 1.05501E+6
342 1.60736E+14 4.03358E+8
369 7.74533E+14 9.36631E+7
429 3.25181E+16 7.28704E+6
392 7.73822E+17 3.17805E+7
360 3.59374E+14 1.51000E+8
346 2.07418E+14 3.19372E+8
316 1.05378E+16 1.96784E+9
357 8.54223E+15 1.68959E+8
226 6.72131E+16 1.03262E+13
439 5.26400E+17 5.08798E+6
216 2.08850E+16 4.13085E+13
294 2.41448E+17 1.02038E+10
441 3.00640E+17 4.67974E+6
475 2.28712E+13 1.53888E+6
348 1.29848E+13 2.85911E+8
340 1.66099E+13 4.50030E+8
227 4.17486E+14 8.72806E+12
343 4.62612E+13 3.82341E+8
471 2.01333E+13 1.77167E+6
375 8.50866E+16 6.79660E+7
328 6.46865E+17 9.01220E+8
331 7.58702E+17 7.63260E+8
439 5.06527E+18 5.01780E+6
453 3.72448E+17 3.14217E+6
275 5.08812E+14 4.85253E+10
301 3.59126E+18 6.06299E+9
328 4.35960E+14 9.26928E+8
345 5.23889E+18 3.38913E+8
321 4.01271E+14 1.45007E+9
364 8.54024E+15 1.17360E+8
429 2.60418E+17 7.04080E+6
315 1.91228E+13 2.20748E+9
246 6.99443E+18 9.07989E+11
391 1.55849E+16 3.26932E+7
215 4.69279E+18 5.00132E+13
402 1.54343E+14 2.06753E+7
430 1.27845E+14 6.99902E+6
427 3.93603E+13 7.66270E+6
466 3.96711E+18 2.02082E+6
328 9.12541E+14 9.17255E+8
393 3.61786E+18 3.03611E+7
235 2.95589E+16 3.37025E+12
481 1.09595E+16 1.31877E+6
321 1.40664E+18 1.42748E+9
209 7.89737E+18 1.26170E+14
353 1.27852E+15 2.18813E+8
