X Y Xfit Y
8.8670000E-6 -2.3210000E-4 2.5939541E-4 -2.3210000E-4
8.5960000E-3 -2.3070000E-4 9.6563866E-3 -2.3070000E-4
1.8320000E-2 -2.2940000E-4 1.8223183E-2 -2.2940000E-4
2.8180000E-2 -2.2790000E-4 2.7909552E-2 -2.2790000E-4
3.8350000E-2 -2.2640000E-4 3.7375442E-2 -2.2640000E-4
4.8000000E-2 -2.2460000E-4 4.8433688E-2 -2.2460000E-4
5.9100000E-2 -2.2310000E-4 5.7391797E-2 -2.2310000E-4
6.9090000E-2 -2.2110000E-4 6.8965460E-2 -2.2110000E-4
7.8860000E-2 -2.1950000E-4 7.7916585E-2 -2.1950000E-4
8.8440000E-2 -2.1760000E-4 8.8190102E-2 -2.1760000E-4
9.8580000E-2 -2.1550000E-4 9.9098720E-2 -2.1550000E-4
1.0970000E-1 -2.1330000E-4 1.1003285E-1 -2.1330000E-4
1.1920000E-1 -2.1110000E-4 1.2047536E-1 -2.1110000E-4
1.2890000E-1 -2.0900000E-4 1.3000088E-1 -2.0900000E-4
1.3890000E-1 -2.0690000E-4 1.3911244E-1 -2.0690000E-4
1.4890000E-1 -2.0440000E-4 1.4944670E-1 -2.0440000E-4
1.6000000E-1 -2.0170000E-4 1.6001912E-1 -2.0170000E-4
1.6970000E-1 -1.9910000E-4 1.6966211E-1 -1.9910000E-4
1.7950000E-1 -1.9610000E-4 1.8018379E-1 -1.9610000E-4
1.8940000E-1 -1.9330000E-4 1.8946711E-1 -1.9330000E-4
1.9930000E-1 -1.9020000E-4 1.9919399E-1 -1.9020000E-4
2.0910000E-1 -1.8670000E-4 2.0954589E-1 -1.8670000E-4
2.2030000E-1 -1.8310000E-4 2.1956822E-1 -1.8310000E-4
2.3030000E-1 -1.7910000E-4 2.3004320E-1 -1.7910000E-4
2.4010000E-1 -1.7550000E-4 2.3894211E-1 -1.7550000E-4
2.5000000E-1 -1.7100000E-4 2.4944461E-1 -1.7100000E-4
2.5980000E-1 -1.6640000E-4 2.5955339E-1 -1.6640000E-4
2.7100000E-1 -1.6100000E-4 2.7071944E-1 -1.6100000E-4
2.8060000E-1 -1.5580000E-4 2.8085403E-1 -1.5580000E-4
2.9040000E-1 -1.5080000E-4 2.9010494E-1 -1.5080000E-4
3.0020000E-1 -1.4480000E-4 3.0065439E-1 -1.4480000E-4
3.1020000E-1 -1.3880000E-4 3.1068602E-1 -1.3880000E-4
3.2100000E-1 -1.3260000E-4 3.2058729E-1 -1.3260000E-4
3.3090000E-1 -1.2560000E-4 3.3128361E-1 -1.2560000E-4
3.4100000E-1 -1.1960000E-4 3.4010513E-1 -1.1960000E-4
3.5100000E-1 -1.1210000E-4 3.5075274E-1 -1.1210000E-4
3.6090000E-1 -1.0550000E-4 3.5982832E-1 -1.0550000E-4
3.7170000E-1 -9.6890000E-5 3.7132736E-1 -9.6890000E-5
3.8140000E-1 -8.8940000E-5 3.8166739E-1 -8.8940000E-5
3.9140000E-1 -8.1300000E-5 3.9140624E-1 -8.1300000E-5
4.0110000E-1 -7.3400000E-5 4.0131899E-1 -7.3400000E-5
4.2080000E-1 -5.8100000E-5 4.2021581E-1 -5.8100000E-5
4.4180000E-1 -3.9990000E-5 4.4237577E-1 -3.9990000E-5
4.6190000E-1 -2.4000000E-5 4.6204653E-1 -2.4000000E-5
4.8260000E-1 -6.3390000E-6 4.8419110E-1 -6.3390000E-6
5.0220000E-1 9.2060000E-6 5.0428519E-1 9.2060000E-6
5.5290000E-1 4.5020000E-5 5.5390724E-1 4.5020000E-5
6.0330000E-1 7.6420000E-5 6.0281833E-1 7.6420000E-5
6.5390000E-1 1.0410000E-4 6.5133608E-1 1.0410000E-4
7.0450000E-1 1.3030000E-4 7.0240299E-1 1.3030000E-4
7.5460000E-1 1.5430000E-4 7.5339539E-1 1.5430000E-4
8.0530000E-1 1.7760000E-4 8.0615407E-1 1.7760000E-4
8.5550000E-1 1.9960000E-4 8.5819573E-1 1.9960000E-4
9.0600000E-1 2.2030000E-4 9.0853216E-1 2.2030000E-4
9.5630000E-1 2.3990000E-4 9.5699196E-1 2.3990000E-4
1.0060000E+0 2.5820000E-4 1.0026734E+0 2.5820000E-4
