T(K) Nd(cm-3) Mu(cm2/Vs)
383 8.10336E+18 1.29447E+2
261 7.97041E+17 3.69452E+2
424 2.23161E+14 6.30308E+2
396 4.49393E+16 6.05957E+2
480 6.57292E+17 2.37025E+2
263 5.17831E+13 1.78887E+3
488 2.76095E+17 3.01772E+2
263 2.22950E+18 2.44381E+2
416 1.62890E+14 6.55691E+2
362 2.80938E+15 8.68769E+2
384 9.28427E+17 2.55569E+2
341 1.52728E+14 1.00619E+3
426 5.10171E+14 6.23002E+2
388 1.53060E+16 7.01031E+2
242 3.41239E+16 1.49702E+3
431 2.03317E+15 6.00437E+2
251 9.81867E+18 1.68853E+2
337 3.21969E+16 8.53388E+2
209 1.28939E+16 2.40442E+3
421 6.99596E+14 6.38621E+2
471 7.73279E+14 5.01885E+2
329 1.46980E+15 1.07358E+3
218 3.51592E+16 1.75263E+3
408 3.09693E+18 1.59345E+2
254 1.98608E+17 7.24320E+2
451 4.10258E+16 4.82787E+2
370 8.67313E+16 6.00997E+2
400 9.75438E+13 7.12871E+2
220 1.03963E+13 2.68886E+3
453 2.54275E+13 5.49020E+2
440 7.77459E+13 5.84203E+2
473 2.99126E+17 3.07308E+2
233 2.67076E+15 2.23830E+3
229 3.15847E+15 2.32454E+3
291 4.38606E+13 1.43013E+3
205 5.04881E+16 1.68139E+3
206 1.15119E+13 3.09975E+3
452 2.55033E+18 1.57563E+2
323 1.17340E+16 1.03272E+3
378 1.37164E+15 7.97832E+2
323 1.11665E+16 1.04198E+3
390 1.69193E+18 2.01497E+2
426 3.69253E+18 1.46835E+2
347 8.52019E+14 9.61729E+2
381 2.65760E+14 7.90541E+2
380 3.69325E+13 8.00455E+2
457 6.33299E+15 5.21076E+2
380 5.87910E+16 6.24858E+2
359 2.13719E+16 7.96005E+2
278 2.05238E+18 2.40995E+2
442 2.18005E+13 5.78309E+2
260 3.95400E+18 2.05779E+2
390 1.17708E+16 7.05662E+2
478 1.98464E+13 4.90802E+2
483 1.40681E+13 4.79029E+2
469 1.62632E+13 5.08918E+2
466 1.15734E+18 2.00756E+2
392 6.91440E+16 5.73672E+2
400 9.64588E+18 1.21180E+2
227 5.45039E+14 2.46549E+3
455 4.46213E+14 5.41874E+2
410 1.39969E+16 6.30128E+2
277 4.33701E+13 1.59808E+3
206 9.37542E+17 4.22781E+2
436 6.13563E+13 5.95000E+2
419 3.98749E+17 3.24437E+2
437 1.15634E+16 5.60447E+2
315 4.11646E+16 9.24576E+2
457 4.17530E+14 5.37580E+2
294 8.40895E+17 3.28160E+2
231 2.44416E+14 2.39320E+3
346 2.26804E+14 9.74003E+2
308 8.22587E+14 1.25224E+3
263 1.62588E+16 1.50150E+3
446 6.12535E+14 5.64419E+2
202 7.15558E+16 1.48165E+3
215 2.39762E+14 2.80473E+3
230 6.83555E+18 1.96851E+2
334 1.72787E+14 1.05401E+3
276 3.85559E+16 1.17486E+3
352 7.17157E+13 9.40556E+2
478 1.73018E+13 4.89788E+2
358 1.40672E+17 5.55718E+2
214 3.65204E+18 2.49518E+2
371 2.41495E+16 7.38008E+2
433 3.89723E+18 1.42993E+2
455 7.30442E+17 2.41415E+2
240 8.55351E+16 1.11510E+3
450 1.38800E+18 1.93819E+2
299 2.11374E+15 1.31249E+3
422 1.10240E+15 6.32204E+2
250 2.82723E+18 2.35177E+2
266 1.86939E+13 1.75009E+3
465 3.51553E+17 2.99637E+2
319 8.15466E+15 1.08576E+3
277 6.80080E+16 9.97057E+2
376 3.60405E+18 1.61246E+2
474 2.07242E+18 1.62779E+2
289 2.48231E+18 2.18934E+2
220 9.26205E+13 2.67417E+3
326 9.96178E+15 1.02684E+3
266 6.56829E+17 3.96684E+2
397 1.31165E+13 7.25778E+2
348 1.04957E+16 8.95132E+2
376 1.79119E+17 4.81866E+2
391 2.41578E+14 7.49275E+2
491 1.92918E+17 3.25804E+2
469 2.57979E+16 4.65337E+2
241 8.92368E+15 1.91803E+3
284 2.57505E+18 2.19256E+2
378 2.73190E+14 8.04220E+2
468 4.47810E+13 5.12015E+2
254 7.65278E+13 1.93672E+3
316 1.40167E+17 6.54978E+2
