T(K) Nd(cm-3) Mu(cm2/Vs)
200 1.00000E+13 3.20673E+3
200 1.32571E+13 3.20631E+3
200 1.75751E+13 3.20576E+3
200 2.32995E+13 3.20505E+3
200 3.08884E+13 3.20411E+3
200 4.09492E+13 3.20289E+3
200 5.42868E+13 3.20129E+3
200 7.19686E+13 3.19921E+3
200 9.54095E+13 3.19649E+3
200 1.26486E+14 3.19293E+3
200 1.67683E+14 3.18830E+3
200 2.22300E+14 3.18226E+3
200 2.94705E+14 3.17440E+3
200 3.90694E+14 3.16418E+3
200 5.17947E+14 3.15094E+3
200 6.86649E+14 3.13380E+3
200 9.10298E+14 3.11172E+3
200 1.20679E+15 3.08338E+3
200 1.59986E+15 3.04721E+3
200 2.12095E+15 3.00137E+3
200 2.81177E+15 2.94383E+3
200 3.72759E+15 2.87238E+3
200 4.94171E+15 2.78494E+3
200 6.55129E+15 2.67974E+3
200 8.68511E+15 2.55576E+3
200 1.15140E+16 2.41318E+3
200 1.52642E+16 2.25366E+3
200 2.02359E+16 2.08072E+3
200 2.68270E+16 1.89933E+3
200 3.55648E+16 1.71556E+3
200 4.71487E+16 1.53599E+3
200 6.25055E+16 1.36593E+3
200 8.28643E+16 1.20964E+3
200 1.09854E+17 1.07018E+3
200 1.45635E+17 9.48250E+2
200 1.93070E+17 8.43970E+2
200 2.55955E+17 7.55230E+2
200 3.39322E+17 6.81250E+2
200 4.49843E+17 6.19382E+2
200 5.96362E+17 5.67802E+2
200 7.90604E+17 5.25156E+2
200 1.04811E+18 4.89654E+2
200 1.38950E+18 4.59975E+2
200 1.84207E+18 4.35032E+2
200 2.44205E+18 4.14253E+2
200 3.23746E+18 3.96717E+2
200 4.29193E+18 3.81959E+2
200 5.68987E+18 3.69355E+2
200 7.54312E+18 3.58611E+2
200 1.00000E+19 3.49501E+2
206 1.00000E+13 3.00778E+3
206 1.32571E+13 3.00741E+3
206 1.75751E+13 3.00692E+3
206 2.32995E+13 3.00628E+3
206 3.08884E+13 3.00544E+3
206 4.09492E+13 3.00435E+3
206 5.42868E+13 3.00292E+3
206 7.19686E+13 3.00106E+3
206 9.54095E+13 2.99864E+3
206 1.26486E+14 2.99548E+3
206 1.67683E+14 2.99136E+3
206 2.22300E+14 2.98599E+3
206 2.94705E+14 2.97902E+3
206 3.90694E+14 2.96996E+3
206 5.17947E+14 2.95823E+3
206 6.86649E+14 2.94306E+3
206 9.10298E+14 2.92351E+3
206 1.20679E+15 2.89842E+3
206 1.59986E+15 2.86640E+3
206 2.12095E+15 2.82579E+3
206 2.81177E+15 2.77474E+3
206 3.72759E+15 2.71124E+3
206 4.94171E+15 2.63331E+3
206 6.55129E+15 2.53922E+3
206 8.68511E+15 2.42784E+3
206 1.15140E+16 2.29899E+3
206 1.52642E+16 2.15393E+3
206 2.02359E+16 1.99539E+3
206 2.68270E+16 1.82767E+3
206 3.55648E+16 1.65638E+3
206 4.71487E+16 1.48731E+3
206 6.25055E+16 1.32579E+3
206 8.28643E+16 1.17673E+3
206 1.09854E+17 1.04230E+3
206 1.45635E+17 9.24431E+2
206 1.93070E+17 8.22851E+2
206 2.55955E+17 7.36978E+2
206 3.39322E+17 6.64485E+2
206 4.49843E+17 6.04037E+2
206 5.96362E+17 5.53798E+2
206 7.90604E+17 5.12147E+2
206 1.04811E+18 4.77559E+2
206 1.38950E+18 4.48894E+2
206 1.84207E+18 4.24740E+2
206 2.44205E+18 4.04669E+2
206 3.23746E+18 3.87656E+2
206 4.29193E+18 3.73374E+2
206 5.68987E+18 3.61321E+2
206 7.54312E+18 3.50973E+2
206 1.00000E+19 3.42172E+2
212 1.00000E+13 2.82700E+3
212 1.32571E+13 2.82666E+3
212 1.75751E+13 2.82622E+3
212 2.32995E+13 2.82564E+3
212 3.08884E+13 2.82489E+3
212 4.09492E+13 2.82391E+3
212 5.42868E+13 2.82264E+3
212 7.19686E+13 2.82097E+3
212 9.54095E+13 2.81880E+3
212 1.26486E+14 2.81598E+3
212 1.67683E+14 2.81230E+3
212 2.22300E+14 2.80752E+3
212 2.94705E+14 2.80131E+3
212 3.90694E+14 2.79325E+3
212 5.17947E+14 2.78282E+3
212 6.86649E+14 2.76933E+3
212 9.10298E+14 2.75196E+3
212 1.20679E+15 2.72968E+3
212 1.59986E+15 2.70122E+3
212 2.12095E+15 2.66512E+3
212 2.81177E+15 2.61968E+3
212 3.72759E+15 2.56307E+3
212 4.94171E+15 2.49344E+3
212 6.55129E+15 2.40908E+3
212 8.68511E+15 2.30881E+3
212 1.15140E+16 2.19221E+3
212 1.52642E+16 2.06010E+3
212 2.02359E+16 1.91475E+3
212 2.68270E+16 1.75978E+3
212 3.55648E+16 1.60006E+3
212 4.71487E+16 1.44101E+3
212 6.25055E+16 1.28816E+3
212 8.28643E+16 1.14536E+3
212 1.09854E+17 1.01641E+3
212 1.45635E+17 9.02204E+2
212 1.93070E+17 8.03624E+2
212 2.55955E+17 7.19698E+2
212 3.39322E+17 6.49084E+2
212 4.49843E+17 5.90036E+2
212 5.96362E+17 5.40997E+2
212 7.90604E+17 5.00404E+2
212 1.04811E+18 4.66617E+2
212 1.38950E+18 4.38531E+2
212 1.84207E+18 4.15213E+2
212 2.44205E+18 3.95637E+2
212 3.23746E+18 3.79215E+2
212 4.29193E+18 3.65464E+2
212 5.68987E+18 3.53694E+2
212 7.54312E+18 3.43818E+2
212 1.00000E+19 3.35314E+2
218 1.00000E+13 2.66226E+3
218 1.32571E+13 2.66195E+3
218 1.75751E+13 2.66156E+3
218 2.32995E+13 2.66104E+3
218 3.08884E+13 2.66036E+3
218 4.09492E+13 2.65948E+3
218 5.42868E+13 2.65833E+3
218 7.19686E+13 2.65684E+3
218 9.54095E+13 2.65489E+3
218 1.26486E+14 2.65236E+3
218 1.67683E+14 2.64907E+3
218 2.22300E+14 2.64479E+3
218 2.94705E+14 2.63924E+3
218 3.90694E+14 2.63204E+3
218 5.17947E+14 2.62273E+3
218 6.86649E+14 2.61070E+3
218 9.10298E+14 2.59521E+3
218 1.20679E+15 2.57534E+3
218 1.59986E+15 2.54997E+3
218 2.12095E+15 2.51776E+3
218 2.81177E+15 2.47720E+3
218 3.72759E+15 2.42659E+3
218 4.94171E+15 2.36418E+3
218 6.55129E+15 2.28839E+3
218 8.68511E+15 2.19794E+3
218 1.15140E+16 2.09228E+3
218 1.52642E+16 1.97186E+3
218 2.02359E+16 1.83846E+3
218 2.68270E+16 1.69525E+3
218 3.55648E+16 1.54636E+3
218 4.71487E+16 1.39697E+3
218 6.25055E+16 1.25206E+3
218 8.28643E+16 1.11582E+3
218 1.09854E+17 9.91680E+2
218 1.45635E+17 8.81335E+2
218 1.93070E+17 7.85645E+2
218 2.55955E+17 7.03644E+2
218 3.39322E+17 6.34773E+2
218 4.49843E+17 5.76950E+2
218 5.96362E+17 5.29078E+2
218 7.90604E+17 4.89288E+2
218 1.04811E+18 4.56372E+2
218 1.38950E+18 4.29081E+2
218 1.84207E+18 4.06238E+2
218 2.44205E+18 3.87342E+2
218 3.23746E+18 3.71327E+2
218 4.29193E+18 3.57947E+2
218 5.68987E+18 3.46621E+2
218 7.54312E+18 3.37054E+2
218 1.00000E+19 3.28875E+2
224 1.00000E+13 2.51175E+3
224 1.32571E+13 2.51147E+3
224 1.75751E+13 2.51111E+3
224 2.32995E+13 2.51064E+3
224 3.08884E+13 2.51003E+3
224 4.09492E+13 2.50924E+3
224 5.42868E+13 2.50820E+3
224 7.19686E+13 2.50685E+3
224 9.54095E+13 2.50510E+3
224 1.26486E+14 2.50283E+3
224 1.67683E+14 2.49987E+3
224 2.22300E+14 2.49603E+3
224 2.94705E+14 2.49105E+3
