T(K) Nd(cm-3) Mu(cm2/Vs)
200 1.00000E+13 5.01846E+14
200 1.32571E+13 5.01846E+14
200 1.75751E+13 5.01846E+14
200 2.32995E+13 5.01846E+14
200 3.08884E+13 5.01846E+14
200 4.09492E+13 5.01846E+14
200 5.42868E+13 5.01846E+14
200 7.19686E+13 5.01846E+14
200 9.54095E+13 5.01846E+14
200 1.26486E+14 5.01846E+14
200 1.67683E+14 5.01846E+14
200 2.22300E+14 5.01846E+14
200 2.94705E+14 5.01846E+14
200 3.90694E+14 5.01846E+14
200 5.17947E+14 5.01846E+14
200 6.86649E+14 5.01846E+14
200 9.10298E+14 5.01846E+14
200 1.20679E+15 5.01846E+14
200 1.59986E+15 5.01846E+14
200 2.12095E+15 5.01846E+14
200 2.81177E+15 5.01846E+14
200 3.72759E+15 5.01846E+14
200 4.94171E+15 5.01846E+14
200 6.55129E+15 5.01846E+14
200 8.68511E+15 5.01846E+14
200 1.15140E+16 5.01846E+14
200 1.52642E+16 5.01846E+14
200 2.02359E+16 5.01846E+14
200 2.68270E+16 5.01846E+14
200 3.55648E+16 5.01846E+14
200 4.71487E+16 5.01846E+14
200 6.25055E+16 5.01846E+14
200 8.28643E+16 5.01846E+14
200 1.09854E+17 5.01846E+14
200 1.45635E+17 5.01846E+14
200 1.93070E+17 5.01846E+14
200 2.55955E+17 5.01846E+14
200 3.39322E+17 5.01846E+14
200 4.49843E+17 5.01846E+14
200 5.96362E+17 5.01846E+14
200 7.90604E+17 5.01846E+14
200 1.04811E+18 5.01846E+14
200 1.38950E+18 5.01846E+14
200 1.84207E+18 5.01846E+14
200 2.44205E+18 5.01846E+14
200 3.23746E+18 5.01846E+14
200 4.29193E+18 5.01846E+14
200 5.68987E+18 5.01846E+14
200 7.54312E+18 5.01846E+14
200 1.00000E+19 5.01846E+14
206 1.00000E+13 1.87494E+14
206 1.32571E+13 1.87494E+14
206 1.75751E+13 1.87494E+14
206 2.32995E+13 1.87494E+14
206 3.08884E+13 1.87494E+14
206 4.09492E+13 1.87494E+14
206 5.42868E+13 1.87494E+14
206 7.19686E+13 1.87494E+14
206 9.54095E+13 1.87494E+14
206 1.26486E+14 1.87494E+14
206 1.67683E+14 1.87494E+14
206 2.22300E+14 1.87494E+14
206 2.94705E+14 1.87494E+14
206 3.90694E+14 1.87494E+14
206 5.17947E+14 1.87494E+14
206 6.86649E+14 1.87494E+14
206 9.10298E+14 1.87494E+14
206 1.20679E+15 1.87494E+14
206 1.59986E+15 1.87494E+14
206 2.12095E+15 1.87494E+14
206 2.81177E+15 1.87494E+14
206 3.72759E+15 1.87494E+14
206 4.94171E+15 1.87494E+14
206 6.55129E+15 1.87494E+14
206 8.68511E+15 1.87494E+14
206 1.15140E+16 1.87494E+14
206 1.52642E+16 1.87494E+14
206 2.02359E+16 1.87494E+14
206 2.68270E+16 1.87494E+14
206 3.55648E+16 1.87494E+14
206 4.71487E+16 1.87494E+14
206 6.25055E+16 1.87494E+14
206 8.28643E+16 1.87494E+14
206 1.09854E+17 1.87494E+14
206 1.45635E+17 1.87494E+14
206 1.93070E+17 1.87494E+14
206 2.55955E+17 1.87494E+14
206 3.39322E+17 1.87494E+14
206 4.49843E+17 1.87494E+14
206 5.96362E+17 1.87494E+14
206 7.90604E+17 1.87494E+14
206 1.04811E+18 1.87494E+14
206 1.38950E+18 1.87494E+14
206 1.84207E+18 1.87494E+14
206 2.44205E+18 1.87494E+14
206 3.23746E+18 1.87494E+14
206 4.29193E+18 1.87494E+14
206 5.68987E+18 1.87494E+14
206 7.54312E+18 1.87494E+14
206 1.00000E+19 1.87494E+14
212 1.00000E+13 7.40529E+13
212 1.32571E+13 7.40529E+13
212 1.75751E+13 7.40529E+13
212 2.32995E+13 7.40529E+13
212 3.08884E+13 7.40529E+13
212 4.09492E+13 7.40529E+13
212 5.42868E+13 7.40529E+13
212 7.19686E+13 7.40529E+13
212 9.54095E+13 7.40529E+13
212 1.26486E+14 7.40529E+13
212 1.67683E+14 7.40529E+13
212 2.22300E+14 7.40529E+13
212 2.94705E+14 7.40529E+13
212 3.90694E+14 7.40529E+13
212 5.17947E+14 7.40529E+13
212 6.86649E+14 7.40529E+13
212 9.10298E+14 7.40529E+13
212 1.20679E+15 7.40529E+13
212 1.59986E+15 7.40529E+13
212 2.12095E+15 7.40529E+13
212 2.81177E+15 7.40529E+13
212 3.72759E+15 7.40529E+13
212 4.94171E+15 7.40529E+13
212 6.55129E+15 7.40529E+13
212 8.68511E+15 7.40529E+13
212 1.15140E+16 7.40529E+13
212 1.52642E+16 7.40529E+13
212 2.02359E+16 7.40529E+13
212 2.68270E+16 7.40529E+13
212 3.55648E+16 7.40529E+13
212 4.71487E+16 7.40529E+13
212 6.25055E+16 7.40529E+13
212 8.28643E+16 7.40529E+13
212 1.09854E+17 7.40529E+13
212 1.45635E+17 7.40529E+13
212 1.93070E+17 7.40529E+13
212 2.55955E+17 7.40529E+13
212 3.39322E+17 7.40529E+13
212 4.49843E+17 7.40529E+13
212 5.96362E+17 7.40529E+13
212 7.90604E+17 7.40529E+13
212 1.04811E+18 7.40529E+13
212 1.38950E+18 7.40529E+13
212 1.84207E+18 7.40529E+13
212 2.44205E+18 7.40529E+13
212 3.23746E+18 7.40529E+13
212 4.29193E+18 7.40529E+13
212 5.68987E+18 7.40529E+13
212 7.54312E+18 7.40529E+13
212 1.00000E+19 7.40529E+13
218 1.00000E+13 3.07783E+13
218 1.32571E+13 3.07783E+13
218 1.75751E+13 3.07783E+13
218 2.32995E+13 3.07783E+13
218 3.08884E+13 3.07783E+13
218 4.09492E+13 3.07783E+13
218 5.42868E+13 3.07783E+13
218 7.19686E+13 3.07783E+13
218 9.54095E+13 3.07783E+13
218 1.26486E+14 3.07783E+13
218 1.67683E+14 3.07783E+13
218 2.22300E+14 3.07783E+13
218 2.94705E+14 3.07783E+13
218 3.90694E+14 3.07783E+13
218 5.17947E+14 3.07783E+13
218 6.86649E+14 3.07783E+13
218 9.10298E+14 3.07783E+13
218 1.20679E+15 3.07783E+13
218 1.59986E+15 3.07783E+13
218 2.12095E+15 3.07783E+13
218 2.81177E+15 3.07783E+13
218 3.72759E+15 3.07783E+13
218 4.94171E+15 3.07783E+13
218 6.55129E+15 3.07783E+13
218 8.68511E+15 3.07783E+13
218 1.15140E+16 3.07783E+13
218 1.52642E+16 3.07783E+13
218 2.02359E+16 3.07783E+13
218 2.68270E+16 3.07783E+13
218 3.55648E+16 3.07783E+13
218 4.71487E+16 3.07783E+13
218 6.25055E+16 3.07783E+13
218 8.28643E+16 3.07783E+13
218 1.09854E+17 3.07783E+13
218 1.45635E+17 3.07783E+13
218 1.93070E+17 3.07783E+13
218 2.55955E+17 3.07783E+13
218 3.39322E+17 3.07783E+13
218 4.49843E+17 3.07783E+13
218 5.96362E+17 3.07783E+13
218 7.90604E+17 3.07783E+13
218 1.04811E+18 3.07783E+13
218 1.38950E+18 3.07783E+13
218 1.84207E+18 3.07783E+13
218 2.44205E+18 3.07783E+13
218 3.23746E+18 3.07783E+13
